ts_id,station_name,station_latitude,station_longitude,station_no,station_id,metric,Precip_year_0000,Precip_month_0000,Precip_value_0000,Precip_quality_code_0000,Precip_year_0001,Precip_month_0001,Precip_value_0001,Precip_quality_code_0001,Precip_year_0002,Precip_month_0002,Precip_value_0002,Precip_quality_code_0002,Precip_year_0003,Precip_month_0003,Precip_value_0003,Precip_quality_code_0003,Precip_year_0004,Precip_month_0004,Precip_value_0004,Precip_quality_code_0004,Precip_year_0005,Precip_month_0005,Precip_value_0005,Precip_quality_code_0005,Precip_year_0006,Precip_month_0006,Precip_value_0006,Precip_quality_code_0006,Precip_year_0007,Precip_month_0007,Precip_value_0007,Precip_quality_code_0007,Precip_year_0008,Precip_month_0008,Precip_value_0008,Precip_quality_code_0008,Precip_year_0009,Precip_month_0009,Precip_value_0009,Precip_quality_code_0009,Precip_year_0010,Precip_month_0010,Precip_value_0010,Precip_quality_code_0010,Precip_year_0011,Precip_month_0011,Precip_value_0011,Precip_quality_code_0011,Precip_year_0100,Precip_month_0100,Precip_value_0100,Precip_quality_code_0100,Precip_year_0101,Precip_month_0101,Precip_value_0101,Precip_quality_code_0101,Precip_year_0102,Precip_month_0102,Precip_value_0102,Precip_quality_code_0102,Precip_year_0103,Precip_month_0103,Precip_value_0103,Precip_quality_code_0103,Precip_year_0104,Precip_month_0104,Precip_value_0104,Precip_quality_code_0104,Precip_year_0105,Precip_month_0105,Precip_value_0105,Precip_quality_code_0105,Precip_year_0106,Precip_month_0106,Precip_value_0106,Precip_quality_code_0106,Precip_year_0107,Precip_month_0107,Precip_value_0107,Precip_quality_code_0107,Precip_year_0108,Precip_month_0108,Precip_value_0108,Precip_quality_code_0108,Precip_year_0109,Precip_month_0109,Precip_value_0109,Precip_quality_code_0109,Precip_year_0110,Precip_month_0110,Precip_value_0110,Precip_quality_code_0110,Precip_year_0111,Precip_month_0111,Precip_value_0111,Precip_quality_code_0111,Precip_year_0200,Precip_month_0200,Precip_value_0200,Precip_quality_code_0200,Precip_year_0201,Precip_month_0201,Precip_value_0201,Precip_quality_code_0201,Precip_year_0202,Precip_month_0202,Precip_value_0202,Precip_quality_code_0202,Precip_year_0203,Precip_month_0203,Precip_value_0203,Precip_quality_code_0203,Precip_year_0204,Precip_month_0204,Precip_value_0204,Precip_quality_code_0204,Precip_year_0205,Precip_month_0205,Precip_value_0205,Precip_quality_code_0205,Precip_year_0206,Precip_month_0206,Precip_value_0206,Precip_quality_code_0206,Precip_year_0207,Precip_month_0207,Precip_value_0207,Precip_quality_code_0207,Precip_year_0208,Precip_month_0208,Precip_value_0208,Precip_quality_code_0208,Precip_year_0209,Precip_month_0209,Precip_value_0209,Precip_quality_code_0209,Precip_year_0210,Precip_month_0210,Precip_value_0210,Precip_quality_code_0210,Precip_year_0211,Precip_month_0211,Precip_value_0211,Precip_quality_code_0211,Precip_year_0300,Precip_month_0300,Precip_value_0300,Precip_quality_code_0300,Precip_year_0301,Precip_month_0301,Precip_value_0301,Precip_quality_code_0301,Precip_year_0302,Precip_month_0302,Precip_value_0302,Precip_quality_code_0302,Precip_year_0303,Precip_month_0303,Precip_value_0303,Precip_quality_code_0303,Precip_year_0304,Precip_month_0304,Precip_value_0304,Precip_quality_code_0304,Precip_year_0305,Precip_month_0305,Precip_value_0305,Precip_quality_code_0305,Precip_year_0306,Precip_month_0306,Precip_value_0306,Precip_quality_code_0306,Precip_year_0307,Precip_month_0307,Precip_value_0307,Precip_quality_code_0307,Precip_year_0308,Precip_month_0308,Precip_value_0308,Precip_quality_code_0308,Precip_year_0309,Precip_month_0309,Precip_value_0309,Precip_quality_code_0309,Precip_year_0310,Precip_month_0310,Precip_value_0310,Precip_quality_code_0310,Precip_year_0311,Precip_month_0311,Precip_value_0311,Precip_quality_code_0311,Precip_year_0400,Precip_month_0400,Precip_value_0400,Precip_quality_code_0400,Precip_year_0401,Precip_month_0401,Precip_value_0401,Precip_quality_code_0401,Precip_year_0402,Precip_month_0402,Precip_value_0402,Precip_quality_code_0402,Precip_year_0403,Precip_month_0403,Precip_value_0403,Precip_quality_code_0403,Precip_year_0404,Precip_month_0404,Precip_value_0404,Precip_quality_code_0404,Precip_year_0405,Precip_month_0405,Precip_value_0405,Precip_quality_code_0405,Precip_year_0406,Precip_month_0406,Precip_value_0406,Precip_quality_code_0406,Precip_year_0407,Precip_month_0407,Precip_value_0407,Precip_quality_code_0407,Precip_year_0408,Precip_month_0408,Precip_value_0408,Precip_quality_code_0408,Precip_year_0409,Precip_month_0409,Precip_value_0409,Precip_quality_code_0409,Precip_year_0410,Precip_month_0410,Precip_value_0410,Precip_quality_code_0410,Precip_year_0411,Precip_month_0411,Precip_value_0411,Precip_quality_code_0411,hamlet,suburb,village,state,postcode,country
56454010,Rawburn Filters,55.79952646,-2.515607789,15128,36996,max,2018,5,86.7,254,2018,6,170.2,254,2018,7,134.5,254,2018,8,147.3,254,2018,9,161.6,254,2018,10,167.1,254,2018,11,202.3,254,2018,12,189.2,254,2019.0,1.0,208.6,254.0,2019.0,2.0,115.7,254.0,2019.0,3.0,96.8,254.0,2019.0,4.0,127.4,254.0,2019.0,5.0,86.7,254.0,2019.0,6.0,170.2,254.0,2019.0,7.0,134.5,254.0,2019.0,8.0,147.3,254.0,2019.0,9.0,161.6,254.0,2019.0,10.0,167.1,254.0,2019.0,11.0,202.3,254.0,2019.0,12.0,189.2,254.0,2020.0,1.0,208.6,254.0,2020.0,2.0,115.7,254.0,2020.0,3.0,96.8,254.0,2020.0,4.0,127.4,254.0,2020.0,5.0,86.7,254.0,2020.0,6.0,170.2,254.0,2020.0,7.0,134.5,254.0,2020.0,8.0,147.3,254.0,2020.0,9.0,161.6,254.0,2020.0,10.0,167.1,254.0,2020.0,11.0,202.3,254.0,2020.0,12.0,189.2,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Longformacus,Alba / Scotland,TD11 3PD,United Kingdom
59086010,Toldrie,56.26660364,-2.675318166,337079,37776,max,2018,5,114.4,254,2018,6,165.6,254,2018,7,130.7,254,2018,8,192.4,254,2018,9,130.2,254,2018,10,145.5,254,2018,11,125.5,254,2018,12,125.1,254,2019.0,1.0,120.0,254.0,2019.0,2.0,101.6,254.0,2019.0,3.0,103.3,254.0,2019.0,4.0,104.5,254.0,2019.0,5.0,114.4,254.0,2019.0,6.0,165.6,254.0,2019.0,7.0,130.7,254.0,2019.0,8.0,192.4,254.0,2019.0,9.0,130.2,254.0,2019.0,10.0,145.5,254.0,2019.0,11.0,125.5,254.0,2019.0,12.0,125.1,254.0,2020.0,1.0,120.0,254.0,2020.0,2.0,101.6,254.0,2020.0,3.0,103.3,254.0,2020.0,4.0,104.5,254.0,2020.0,5.0,114.4,254.0,2020.0,6.0,165.6,254.0,2020.0,7.0,130.7,254.0,2020.0,8.0,192.4,254.0,2020.0,9.0,130.2,254.0,2020.0,10.0,145.5,254.0,2020.0,11.0,125.5,254.0,2020.0,12.0,125.1,254.0,2021.0,1.0,120.0,254.0,2021.0,2.0,101.6,254.0,2021.0,3.0,103.3,254.0,2021.0,4.0,104.5,254.0,2021.0,5.0,114.4,254.0,2021.0,6.0,165.6,254.0,2021.0,7.0,130.7,254.0,2021.0,8.0,192.4,254.0,2021.0,9.0,130.2,254.0,2021.0,10.0,145.5,254.0,2021.0,11.0,125.5,254.0,2021.0,12.0,125.1,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Alba / Scotland,KY10 3XE,United Kingdom
55859010,Gordon Arms,55.51137227,-3.096406906,14984,36790,max,2018,5,124.2,254,2018,6,162.6,254,2018,7,145.0,254,2018,8,224.6,254,2018,9,173.6,254,2018,10,219.4,254,2018,11,274.0,254,2018,12,296.4,254,2019.0,1.0,198.8,254.0,2019.0,2.0,263.6,254.0,2019.0,3.0,147.4,254.0,2019.0,4.0,119.8,254.0,2019.0,5.0,124.2,254.0,2019.0,6.0,162.6,254.0,2019.0,7.0,145.0,254.0,2019.0,8.0,224.6,254.0,2019.0,9.0,173.6,254.0,2019.0,10.0,219.4,254.0,2019.0,11.0,274.0,254.0,2019.0,12.0,296.4,254.0,2020.0,1.0,198.8,254.0,2020.0,2.0,263.6,254.0,2020.0,3.0,147.4,254.0,2020.0,4.0,119.8,254.0,2020.0,5.0,124.2,254.0,2020.0,6.0,162.6,254.0,2020.0,7.0,145.0,254.0,2020.0,8.0,224.6,254.0,2020.0,9.0,173.6,254.0,2020.0,10.0,219.4,254.0,2020.0,11.0,274.0,254.0,2020.0,12.0,296.4,254.0,2021.0,1.0,198.8,254.0,2021.0,2.0,263.6,254.0,2021.0,3.0,147.4,254.0,2021.0,4.0,119.8,254.0,2021.0,5.0,124.2,254.0,2021.0,6.0,162.6,254.0,2021.0,7.0,145.0,254.0,2021.0,8.0,224.6,254.0,2021.0,9.0,173.6,254.0,2021.0,10.0,219.4,254.0,2021.0,11.0,274.0,254.0,2021.0,12.0,296.4,254.0,2022.0,1.0,198.8,254.0,2022.0,2.0,263.6,254.0,2022.0,3.0,147.4,254.0,2022.0,4.0,119.8,254.0,2022.0,5.0,124.2,254.0,2022.0,6.0,162.6,254.0,2022.0,7.0,145.0,254.0,2022.0,8.0,224.6,254.0,2022.0,9.0,173.6,254.0,2022.0,10.0,219.4,254.0,2022.0,11.0,274.0,254.0,2022.0,12.0,296.4,254.0,2023.0,1.0,198.8,254.0,2023.0,2.0,263.6,254.0,2023.0,3.0,147.4,254.0,2023.0,4.0,119.8,254.0,,,,Alba / Scotland,TD7 5NG,United Kingdom
51995010,Brigton,55.03779638,-4.566314357,115521,35752,max,2018,5,178.6,200,2018,6,188.2,200,2018,7,199.6,200,2018,8,284.8,200,2018,9,223.8,200,2018,10,298.0,200,2018,11,267.4,200,2018,12,366.0,200,2019.0,1.0,299.0,200.0,2019.0,2.0,283.2,200.0,2019.0,3.0,196.4,200.0,2019.0,4.0,133.8,200.0,2019.0,5.0,178.6,200.0,2019.0,6.0,188.2,200.0,2019.0,7.0,199.6,200.0,2019.0,8.0,284.8,200.0,2019.0,9.0,223.8,200.0,2019.0,10.0,298.0,200.0,2019.0,11.0,267.4,200.0,2019.0,12.0,366.0,200.0,2020.0,1.0,299.0,200.0,2020.0,2.0,283.2,200.0,2020.0,3.0,196.4,200.0,2020.0,4.0,133.8,200.0,2020.0,5.0,178.6,200.0,2020.0,6.0,188.2,200.0,2020.0,7.0,199.6,200.0,2020.0,8.0,284.8,200.0,2020.0,9.0,223.8,200.0,2020.0,10.0,298.0,200.0,2020.0,11.0,267.4,200.0,2020.0,12.0,366.0,200.0,2021.0,1.0,299.0,200.0,2021.0,2.0,283.2,200.0,2021.0,3.0,196.4,200.0,2021.0,4.0,133.8,200.0,2021.0,5.0,178.6,200.0,2021.0,6.0,188.2,200.0,2021.0,7.0,199.6,200.0,2021.0,8.0,284.8,200.0,2021.0,9.0,223.8,200.0,2021.0,10.0,298.0,200.0,2021.0,11.0,267.4,200.0,2021.0,12.0,366.0,200.0,2022.0,1.0,299.0,200.0,2022.0,2.0,283.2,200.0,2022.0,3.0,196.4,200.0,2022.0,4.0,133.8,200.0,2022.0,5.0,178.6,200.0,2022.0,6.0,188.2,200.0,2022.0,7.0,199.6,200.0,2022.0,8.0,284.8,200.0,2022.0,9.0,223.8,200.0,2022.0,10.0,298.0,200.0,2022.0,11.0,267.4,200.0,2022.0,12.0,366.0,200.0,2023.0,1.0,299.0,200.0,2023.0,2.0,283.2,200.0,2023.0,3.0,196.4,200.0,2023.0,4.0,133.8,200.0,,,,Alba / Scotland,DG8 6SR,United Kingdom
56563010,Strathyre,56.32054504,-4.328975608,15172,37048,max,2018,5,291.8,254,2018,6,249.2,254,2018,7,211.2,254,2018,8,299.0,254,2018,9,308.6,254,2018,10,435.6,254,2018,11,402.8,254,2018,12,591.2,254,2019.0,1.0,489.8,254.0,2019.0,2.0,529.8,254.0,2019.0,3.0,499.2,254.0,2019.0,4.0,208.8,254.0,2019.0,5.0,291.8,254.0,2019.0,6.0,249.2,254.0,2019.0,7.0,211.2,254.0,2019.0,8.0,299.0,254.0,2019.0,9.0,308.6,254.0,2019.0,10.0,435.6,254.0,2019.0,11.0,402.8,254.0,2019.0,12.0,591.2,254.0,2020.0,1.0,489.8,254.0,2020.0,2.0,529.8,254.0,2020.0,3.0,499.2,254.0,2020.0,4.0,208.8,254.0,2020.0,5.0,291.8,254.0,2020.0,6.0,249.2,254.0,2020.0,7.0,211.2,254.0,2020.0,8.0,299.0,254.0,2020.0,9.0,308.6,254.0,2020.0,10.0,435.6,254.0,2020.0,11.0,402.8,254.0,2020.0,12.0,591.2,254.0,2021.0,1.0,489.8,254.0,2021.0,2.0,529.8,254.0,2021.0,3.0,499.2,254.0,2021.0,4.0,208.8,254.0,2021.0,5.0,291.8,254.0,2021.0,6.0,249.2,254.0,2021.0,7.0,211.2,254.0,2021.0,8.0,299.0,254.0,2021.0,9.0,308.6,254.0,2021.0,10.0,435.6,254.0,2021.0,11.0,402.8,254.0,2021.0,12.0,591.2,254.0,2022.0,1.0,489.8,254.0,2022.0,2.0,529.8,254.0,2022.0,3.0,499.2,254.0,2022.0,4.0,208.8,254.0,2022.0,5.0,291.8,254.0,2022.0,6.0,249.2,254.0,2022.0,7.0,211.2,254.0,2022.0,8.0,299.0,254.0,2022.0,9.0,308.6,254.0,2022.0,10.0,435.6,254.0,2022.0,11.0,402.8,254.0,2022.0,12.0,591.2,254.0,2023.0,1.0,489.8,254.0,2023.0,2.0,529.8,254.0,2023.0,3.0,499.2,254.0,2023.0,4.0,208.8,254.0,,,Strathyre,Alba / Scotland,FK18 8NJ,United Kingdom
58953010,Ord,57.15038733,-5.939815958,335978,37726,max,2018,5,279.1,254,2018,6,140.6,254,2018,7,202.2,254,2018,8,259.8,254,2018,9,285.0,254,2018,10,374.3,254,2018,11,306.7,254,2018,12,336.6,254,2019.0,1.0,310.5,254.0,2019.0,2.0,260.4,254.0,2019.0,3.0,229.2,254.0,2019.0,4.0,172.0,254.0,2019.0,5.0,279.1,254.0,2019.0,6.0,140.6,254.0,2019.0,7.0,202.2,254.0,2019.0,8.0,259.8,254.0,2019.0,9.0,285.0,254.0,2019.0,10.0,374.3,254.0,2019.0,11.0,306.7,254.0,2019.0,12.0,336.6,254.0,2020.0,1.0,310.5,254.0,2020.0,2.0,260.4,254.0,2020.0,3.0,229.2,254.0,2020.0,4.0,172.0,254.0,2020.0,5.0,279.1,254.0,2020.0,6.0,140.6,254.0,2020.0,7.0,202.2,254.0,2020.0,8.0,259.8,254.0,2020.0,9.0,285.0,254.0,2020.0,10.0,374.3,254.0,2020.0,11.0,306.7,254.0,2020.0,12.0,336.6,254.0,2021.0,1.0,310.5,254.0,2021.0,2.0,260.4,254.0,2021.0,3.0,229.2,254.0,2021.0,4.0,172.0,254.0,2021.0,5.0,279.1,254.0,2021.0,6.0,140.6,254.0,2021.0,7.0,202.2,254.0,2021.0,8.0,259.8,254.0,2021.0,9.0,285.0,254.0,2021.0,10.0,374.3,254.0,2021.0,11.0,306.7,254.0,2021.0,12.0,336.6,254.0,2022.0,1.0,310.5,254.0,2022.0,2.0,260.4,254.0,2022.0,3.0,229.2,254.0,2022.0,4.0,172.0,254.0,2022.0,5.0,279.1,254.0,2022.0,6.0,140.6,254.0,2022.0,7.0,202.2,254.0,2022.0,8.0,259.8,254.0,2022.0,9.0,285.0,254.0,2022.0,10.0,374.3,254.0,2022.0,11.0,306.7,254.0,2022.0,12.0,336.6,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ord - An t-Òrd,Sleat,,Alba / Scotland,IV44 8RN,United Kingdom
57755010,Kilphedir,58.14138911,-3.702814019,234253,37374,max,2018,5,149.6,254,2018,6,107.2,254,2018,7,102.8,254,2018,8,169.8,254,2018,9,128.8,254,2018,10,276.6,254,2018,11,232.8,254,2018,12,167.8,254,2019.0,1.0,195.4,254.0,2019.0,2.0,168.0,254.0,2019.0,3.0,124.8,254.0,2019.0,4.0,104.6,254.0,2019.0,5.0,149.6,254.0,2019.0,6.0,107.2,254.0,2019.0,7.0,102.8,254.0,2019.0,8.0,169.8,254.0,2019.0,9.0,128.8,254.0,2019.0,10.0,276.6,254.0,2019.0,11.0,232.8,254.0,2019.0,12.0,167.8,254.0,2020.0,1.0,195.4,254.0,2020.0,2.0,168.0,254.0,2020.0,3.0,124.8,254.0,2020.0,4.0,104.6,254.0,2020.0,5.0,149.6,254.0,2020.0,6.0,107.2,254.0,2020.0,7.0,102.8,254.0,2020.0,8.0,169.8,254.0,2020.0,9.0,128.8,254.0,2020.0,10.0,276.6,254.0,2020.0,11.0,232.8,254.0,2020.0,12.0,167.8,254.0,2021.0,1.0,195.4,254.0,2021.0,2.0,168.0,254.0,2021.0,3.0,124.8,254.0,2021.0,4.0,104.6,254.0,2021.0,5.0,149.6,254.0,2021.0,6.0,107.2,254.0,2021.0,7.0,102.8,254.0,2021.0,8.0,169.8,254.0,2021.0,9.0,128.8,254.0,2021.0,10.0,276.6,254.0,2021.0,11.0,232.8,254.0,2021.0,12.0,167.8,254.0,2022.0,1.0,195.4,254.0,2022.0,2.0,168.0,254.0,2022.0,3.0,124.8,254.0,2022.0,4.0,104.6,254.0,2022.0,5.0,149.6,254.0,2022.0,6.0,107.2,254.0,2022.0,7.0,102.8,254.0,2022.0,8.0,169.8,254.0,2022.0,9.0,128.8,254.0,2022.0,10.0,276.6,254.0,2022.0,11.0,232.8,254.0,2022.0,12.0,167.8,254.0,2023.0,1.0,195.4,254.0,2023.0,2.0,168.0,254.0,2023.0,3.0,124.8,254.0,2023.0,4.0,104.6,254.0,Caen,,,Alba / Scotland,KW8 6HU,United Kingdom
52264010,Meadowfoot,55.40534471,-3.799886702,115616,35876,max,2018,5,201.2,254,2018,6,214.6,254,2018,7,202.6,254,2018,8,317.8,254,2018,9,222.4,254,2018,10,274.0,254,2018,11,356.4,254,2018,12,410.6,254,2019.0,1.0,297.6,254.0,2019.0,2.0,350.6,254.0,2019.0,3.0,224.4,254.0,2019.0,4.0,175.4,254.0,2019.0,5.0,201.2,254.0,2019.0,6.0,214.6,254.0,2019.0,7.0,202.6,254.0,2019.0,8.0,317.8,254.0,2019.0,9.0,222.4,254.0,2019.0,10.0,274.0,254.0,2019.0,11.0,356.4,254.0,2019.0,12.0,410.6,254.0,2020.0,1.0,297.6,254.0,2020.0,2.0,350.6,254.0,2020.0,3.0,224.4,254.0,2020.0,4.0,175.4,254.0,2020.0,5.0,201.2,254.0,2020.0,6.0,214.6,254.0,2020.0,7.0,202.6,254.0,2020.0,8.0,317.8,254.0,2020.0,9.0,222.4,254.0,2020.0,10.0,274.0,254.0,2020.0,11.0,356.4,254.0,2020.0,12.0,410.6,254.0,2021.0,1.0,297.6,254.0,2021.0,2.0,350.6,254.0,2021.0,3.0,224.4,254.0,2021.0,4.0,175.4,254.0,2021.0,5.0,201.2,254.0,2021.0,6.0,214.6,254.0,2021.0,7.0,202.6,254.0,2021.0,8.0,317.8,254.0,2021.0,9.0,222.4,254.0,2021.0,10.0,274.0,254.0,2021.0,11.0,356.4,254.0,2021.0,12.0,410.6,254.0,2022.0,1.0,297.6,254.0,2022.0,2.0,350.6,254.0,2022.0,3.0,224.4,254.0,2022.0,4.0,175.4,254.0,2022.0,5.0,201.2,254.0,2022.0,6.0,214.6,254.0,2022.0,7.0,202.6,254.0,2022.0,8.0,317.8,254.0,2022.0,9.0,222.4,254.0,2022.0,10.0,274.0,254.0,2022.0,11.0,356.4,254.0,2022.0,12.0,410.6,254.0,2023.0,1.0,297.6,254.0,2023.0,2.0,350.6,254.0,2023.0,3.0,224.4,254.0,2023.0,4.0,175.4,254.0,,,Wanlockhead,Alba / Scotland,ML12 6XJ,United Kingdom
56351010,South Drumdowie No 2,56.30034834,-3.837277041,15098,36944,max,2018,5,165.7,254,2018,6,161.9,254,2018,7,214.9,254,2018,8,229.9,254,2018,9,180.4,254,2018,10,248.2,254,2018,11,267.9,254,2018,12,367.4,254,2019.0,1.0,319.7,254.0,2019.0,2.0,350.4,254.0,2019.0,3.0,173.2,254.0,2019.0,4.0,116.9,254.0,2019.0,5.0,165.7,254.0,2019.0,6.0,161.9,254.0,2019.0,7.0,214.9,254.0,2019.0,8.0,229.9,254.0,2019.0,9.0,180.4,254.0,2019.0,10.0,248.2,254.0,2019.0,11.0,267.9,254.0,2019.0,12.0,367.4,254.0,2020.0,1.0,319.7,254.0,2020.0,2.0,350.4,254.0,2020.0,3.0,173.2,254.0,2020.0,4.0,116.9,254.0,2020.0,5.0,165.7,254.0,2020.0,6.0,161.9,254.0,2020.0,7.0,214.9,254.0,2020.0,8.0,229.9,254.0,2020.0,9.0,180.4,254.0,2020.0,10.0,248.2,254.0,2020.0,11.0,267.9,254.0,2020.0,12.0,367.4,254.0,2021.0,1.0,319.7,254.0,2021.0,2.0,350.4,254.0,2021.0,3.0,173.2,254.0,2021.0,4.0,116.9,254.0,2021.0,5.0,165.7,254.0,2021.0,6.0,161.9,254.0,2021.0,7.0,214.9,254.0,2021.0,8.0,229.9,254.0,2021.0,9.0,180.4,254.0,2021.0,10.0,248.2,254.0,2021.0,11.0,267.9,254.0,2021.0,12.0,367.4,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Braco,Alba / Scotland,PH5 2BS,United Kingdom
51688010,Anaheilt,56.70184457,-5.57126135,115307,35608,max,2018,5,395.8,254,2018,6,216.8,254,2018,7,232.4,254,2018,8,318.2,254,2018,9,412.5,254,2018,10,484.1,254,2018,11,427.5,254,2018,12,572.9,254,2019.0,1.0,484.1,254.0,2019.0,2.0,493.1,254.0,2019.0,3.0,366.5,254.0,2019.0,4.0,216.5,254.0,2019.0,5.0,395.8,254.0,2019.0,6.0,216.8,254.0,2019.0,7.0,232.4,254.0,2019.0,8.0,318.2,254.0,2019.0,9.0,412.5,254.0,2019.0,10.0,484.1,254.0,2019.0,11.0,427.5,254.0,2019.0,12.0,572.9,254.0,2020.0,1.0,484.1,254.0,2020.0,2.0,493.1,254.0,2020.0,3.0,366.5,254.0,2020.0,4.0,216.5,254.0,2020.0,5.0,395.8,254.0,2020.0,6.0,216.8,254.0,2020.0,7.0,232.4,254.0,2020.0,8.0,318.2,254.0,2020.0,9.0,412.5,254.0,2020.0,10.0,484.1,254.0,2020.0,11.0,427.5,254.0,2020.0,12.0,572.9,254.0,2021.0,1.0,484.1,254.0,2021.0,2.0,493.1,254.0,2021.0,3.0,366.5,254.0,2021.0,4.0,216.5,254.0,2021.0,5.0,395.8,254.0,2021.0,6.0,216.8,254.0,2021.0,7.0,232.4,254.0,2021.0,8.0,318.2,254.0,2021.0,9.0,412.5,254.0,2021.0,10.0,484.1,254.0,2021.0,11.0,427.5,254.0,2021.0,12.0,572.9,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anaheilt,,Strontian,Alba / Scotland,PH36 4JA,United Kingdom
