ts_id,station_name,station_latitude,station_longitude,station_no,station_id,metric,S_year_0000,S_month_0000,S_value_0000,S_quality_code_0000,S_year_0001,S_month_0001,S_value_0001,S_quality_code_0001,S_year_0002,S_month_0002,S_value_0002,S_quality_code_0002,S_year_0003,S_month_0003,S_value_0003,S_quality_code_0003,S_year_0004,S_month_0004,S_value_0004,S_quality_code_0004,S_year_0005,S_month_0005,S_value_0005,S_quality_code_0005,S_year_0006,S_month_0006,S_value_0006,S_quality_code_0006,S_year_0007,S_month_0007,S_value_0007,S_quality_code_0007,S_year_0008,S_month_0008,S_value_0008,S_quality_code_0008,S_year_0009,S_month_0009,S_value_0009,S_quality_code_0009,S_year_0010,S_month_0010,S_value_0010,S_quality_code_0010,S_year_0011,S_month_0011,S_value_0011,S_quality_code_0011,S_year_0100,S_month_0100,S_value_0100,S_quality_code_0100,S_year_0101,S_month_0101,S_value_0101,S_quality_code_0101,S_year_0102,S_month_0102,S_value_0102,S_quality_code_0102,S_year_0103,S_month_0103,S_value_0103,S_quality_code_0103,S_year_0104,S_month_0104,S_value_0104,S_quality_code_0104,S_year_0105,S_month_0105,S_value_0105,S_quality_code_0105,S_year_0106,S_month_0106,S_value_0106,S_quality_code_0106,S_year_0107,S_month_0107,S_value_0107,S_quality_code_0107,S_year_0108,S_month_0108,S_value_0108,S_quality_code_0108,S_year_0109,S_month_0109,S_value_0109,S_quality_code_0109,S_year_0110,S_month_0110,S_value_0110,S_quality_code_0110,S_year_0111,S_month_0111,S_value_0111,S_quality_code_0111,S_year_0200,S_month_0200,S_value_0200,S_quality_code_0200,S_year_0201,S_month_0201,S_value_0201,S_quality_code_0201,S_year_0202,S_month_0202,S_value_0202,S_quality_code_0202,S_year_0203,S_month_0203,S_value_0203,S_quality_code_0203,S_year_0204,S_month_0204,S_value_0204,S_quality_code_0204,S_year_0205,S_month_0205,S_value_0205,S_quality_code_0205,S_year_0206,S_month_0206,S_value_0206,S_quality_code_0206,S_year_0207,S_month_0207,S_value_0207,S_quality_code_0207,S_year_0208,S_month_0208,S_value_0208,S_quality_code_0208,S_year_0209,S_month_0209,S_value_0209,S_quality_code_0209,S_year_0210,S_month_0210,S_value_0210,S_quality_code_0210,S_year_0211,S_month_0211,S_value_0211,S_quality_code_0211,S_year_0300,S_month_0300,S_value_0300,S_quality_code_0300,S_year_0301,S_month_0301,S_value_0301,S_quality_code_0301,S_year_0302,S_month_0302,S_value_0302,S_quality_code_0302,S_year_0303,S_month_0303,S_value_0303,S_quality_code_0303,S_year_0304,S_month_0304,S_value_0304,S_quality_code_0304,S_year_0305,S_month_0305,S_value_0305,S_quality_code_0305,S_year_0306,S_month_0306,S_value_0306,S_quality_code_0306,S_year_0307,S_month_0307,S_value_0307,S_quality_code_0307,S_year_0308,S_month_0308,S_value_0308,S_quality_code_0308,S_year_0309,S_month_0309,S_value_0309,S_quality_code_0309,S_year_0310,S_month_0310,S_value_0310,S_quality_code_0310,S_year_0311,S_month_0311,S_value_0311,S_quality_code_0311,S_year_0400,S_month_0400,S_value_0400,S_quality_code_0400,S_year_0401,S_month_0401,S_value_0401,S_quality_code_0401,S_year_0402,S_month_0402,S_value_0402,S_quality_code_0402,S_year_0403,S_month_0403,S_value_0403,S_quality_code_0403,S_year_0404,S_month_0404,S_value_0404,S_quality_code_0404,S_year_0405,S_month_0405,S_value_0405,S_quality_code_0405,S_year_0406,S_month_0406,S_value_0406,S_quality_code_0406,S_year_0407,S_month_0407,S_value_0407,S_quality_code_0407,S_year_0408,S_month_0408,S_value_0408,S_quality_code_0408,S_year_0409,S_month_0409,S_value_0409,S_quality_code_0409,S_year_0410,S_month_0410,S_value_0410,S_quality_code_0410,S_year_0411,S_month_0411,S_value_0411,S_quality_code_0411,hamlet,suburb,village,state,postcode,country
59837010,Murray Burn,55.91287677,-3.317681386,372859,37992,max,2018,5,0.481,200,2018,6,0.848,200,2018,7,0.72,254,2018,8,0.67,200,2018,9,0.555,200,2018,10,0.6,200,2018,11,0.515,200,2018,12,0.641,254,2019,1,0.529,200,2019,2,0.592,100,2019,3,0.599,200,2019,4,0.373,200,2019,5,0.481,200,2019,6,0.848,200,2019,7,0.72,254,2019,8,0.67,200,2019,9,0.555,200,2019,10,0.6,200,2019,11,0.515,200,2019,12,0.641,254,2020,1,0.529,200,2020,2,0.592,100,2020,3,0.599,200,2020.0,4.0,0.373,200.0,2020.0,5.0,0.481,200.0,2020.0,6.0,0.848,200.0,2020.0,7.0,0.72,254.0,2020.0,8.0,0.67,200.0,2020.0,9.0,0.555,200.0,2020.0,10.0,0.6,200.0,2020.0,11.0,0.515,200.0,2020.0,12.0,0.641,254.0,2021.0,1.0,0.529,200.0,2021.0,2.0,0.592,100.0,2021.0,3.0,0.599,200.0,2021.0,4.0,0.373,200.0,2021.0,5.0,0.481,200.0,2021.0,6.0,0.848,200.0,2021.0,7.0,0.72,254.0,2021.0,8.0,0.67,200.0,2021.0,9.0,0.555,200.0,2021.0,10.0,0.6,200.0,2021.0,11.0,0.515,200.0,2021.0,12.0,0.641,254.0,2022.0,1.0,0.529,200.0,2022.0,2.0,0.592,100.0,2022.0,3.0,0.599,200.0,2022.0,4.0,0.373,200.0,2022.0,5.0,0.481,200.0,2022.0,6.0,0.848,200.0,2022.0,7.0,0.72,254.0,2022.0,8.0,0.67,200.0,2022.0,9.0,0.555,200.0,2022.0,10.0,0.6,200.0,2022.0,11.0,0.515,200.0,2022.0,12.0,0.641,254.0,2023.0,1.0,0.529,200.0,2023.0,2.0,0.592,100.0,2023.0,3.0,0.599,200.0,2023.0,4.0,0.373,200.0,,Currie,,Alba / Scotland,EH14 4BA,United Kingdom
56083010,Jedburgh,55.48529122,-2.54668704,15006,36842,max,2018,5,1.874,200,2018,6,2.212,200,2018,7,2.532,200,2018,8,2.504,200,2018,9,2.481,200,2018,10,3.082,200,2018,11,2.607,200,2018,12,2.889,200,2019,1,3.504,200,2019,2,3.334,200,2019,3,2.504,200,2019,4,2.412,200,2019,5,1.874,200,2019,6,2.212,200,2019,7,2.532,200,2019,8,2.504,200,2019,9,2.481,200,2019,10,3.082,200,2019,11,2.607,200,2019,12,2.889,200,2020,1,3.504,200,2020,2,3.334,200,2020,3,2.504,200,2020.0,4.0,2.412,200.0,2020.0,5.0,1.874,200.0,2020.0,6.0,2.212,200.0,2020.0,7.0,2.532,200.0,2020.0,8.0,2.504,200.0,2020.0,9.0,2.481,200.0,2020.0,10.0,3.082,200.0,2020.0,11.0,2.607,200.0,2020.0,12.0,2.889,200.0,2021.0,1.0,3.504,200.0,2021.0,2.0,3.334,200.0,2021.0,3.0,2.504,200.0,2021.0,4.0,2.412,200.0,2021.0,5.0,1.874,200.0,2021.0,6.0,2.212,200.0,2021.0,7.0,2.532,200.0,2021.0,8.0,2.504,200.0,2021.0,9.0,2.481,200.0,2021.0,10.0,3.082,200.0,2021.0,11.0,2.607,200.0,2021.0,12.0,2.889,200.0,2022.0,1.0,3.504,200.0,2022.0,2.0,3.334,200.0,2022.0,3.0,2.504,200.0,2022.0,4.0,2.412,200.0,2022.0,5.0,1.874,200.0,2022.0,6.0,2.212,200.0,2022.0,7.0,2.532,200.0,2022.0,8.0,2.504,200.0,2022.0,9.0,2.481,200.0,2022.0,10.0,3.082,200.0,2022.0,11.0,2.607,200.0,2022.0,12.0,2.889,200.0,2023.0,1.0,3.504,200.0,2023.0,2.0,3.334,200.0,2023.0,3.0,2.504,200.0,2023.0,4.0,2.412,200.0,Woodend,,,Alba / Scotland,TD8 6ED,United Kingdom
54948010,Balmossie,56.48175497,-2.85166534,14919,36564,max,2018,5,1.311,200,2018,6,1.563,200,2018,7,1.364,200,2018,8,1.83,200,2018,9,2.527,200,2018,10,2.255,200,2018,11,2.211,200,2018,12,2.259,200,2019,1,2.313,200,2019,2,1.947,200,2019,3,2.21,200,2019,4,1.903,200,2019,5,1.311,200,2019,6,1.563,200,2019,7,1.364,200,2019,8,1.83,200,2019,9,2.527,200,2019,10,2.255,200,2019,11,2.211,200,2019,12,2.259,200,2020,1,2.313,200,2020,2,1.947,200,2020,3,2.21,200,2020.0,4.0,1.903,200.0,2020.0,5.0,1.311,200.0,2020.0,6.0,1.563,200.0,2020.0,7.0,1.364,200.0,2020.0,8.0,1.83,200.0,2020.0,9.0,2.527,200.0,2020.0,10.0,2.255,200.0,2020.0,11.0,2.211,200.0,2020.0,12.0,2.259,200.0,2021.0,1.0,2.313,200.0,2021.0,2.0,1.947,200.0,2021.0,3.0,2.21,200.0,2021.0,4.0,1.903,200.0,2021.0,5.0,1.311,200.0,2021.0,6.0,1.563,200.0,2021.0,7.0,1.364,200.0,2021.0,8.0,1.83,200.0,2021.0,9.0,2.527,200.0,2021.0,10.0,2.255,200.0,2021.0,11.0,2.211,200.0,2021.0,12.0,2.259,200.0,2022.0,1.0,2.313,200.0,2022.0,2.0,1.947,200.0,2022.0,3.0,2.21,200.0,2022.0,4.0,1.903,200.0,2022.0,5.0,1.311,200.0,2022.0,6.0,1.563,200.0,2022.0,7.0,1.364,200.0,2022.0,8.0,1.83,200.0,2022.0,9.0,2.527,200.0,2022.0,10.0,2.255,200.0,2022.0,11.0,2.211,200.0,2022.0,12.0,2.259,200.0,2023.0,1.0,2.313,200.0,2023.0,2.0,1.947,200.0,2023.0,3.0,2.21,200.0,2023.0,4.0,1.903,200.0,,Panmurefield,,Alba / Scotland,DD5 3SU,United Kingdom
55126010,St Michaels,56.3903691,-2.908114188,14930,36608,max,2018,5,1.185,50,2018,6,1.362,150,2018,7,1.162,200,2018,8,2.007,50,2018,9,1.389,50,2018,10,1.826,100,2018,11,1.499,200,2018,12,2.0,100,2019,1,1.967,100,2019,2,1.727,100,2019,3,2.047,200,2019,4,2.074,200,2019,5,1.185,50,2019,6,1.362,150,2019,7,1.162,200,2019,8,2.007,50,2019,9,1.389,50,2019,10,1.826,100,2019,11,1.499,200,2019,12,2.0,100,2020,1,1.967,100,2020,2,1.727,100,2020,3,2.047,200,2020.0,4.0,2.074,200.0,2020.0,5.0,1.185,50.0,2020.0,6.0,1.362,150.0,2020.0,7.0,1.162,200.0,2020.0,8.0,2.007,50.0,2020.0,9.0,1.389,50.0,2020.0,10.0,1.826,100.0,2020.0,11.0,1.499,200.0,2020.0,12.0,2.0,100.0,2021.0,1.0,1.967,100.0,2021.0,2.0,1.727,100.0,2021.0,3.0,2.047,200.0,2021.0,4.0,2.074,200.0,2021.0,5.0,1.185,50.0,2021.0,6.0,1.362,150.0,2021.0,7.0,1.162,200.0,2021.0,8.0,2.007,50.0,2021.0,9.0,1.389,50.0,2021.0,10.0,1.826,100.0,2021.0,11.0,1.499,200.0,2021.0,12.0,2.0,100.0,2022.0,1.0,1.967,100.0,2022.0,2.0,1.727,100.0,2022.0,3.0,2.047,200.0,2022.0,4.0,2.074,200.0,2022.0,5.0,1.185,50.0,2022.0,6.0,1.362,150.0,2022.0,7.0,1.162,200.0,2022.0,8.0,2.007,50.0,2022.0,9.0,1.389,50.0,2022.0,10.0,1.826,100.0,2022.0,11.0,1.499,200.0,2022.0,12.0,2.0,100.0,2023.0,1.0,1.967,100.0,2023.0,2.0,1.727,100.0,2023.0,3.0,2.047,200.0,2023.0,4.0,2.074,200.0,Lucklawhill,,Balmullo,Alba / Scotland,KY16 0DJ,United Kingdom
54022010,Low Malzie,54.85901864,-4.522077924,133167,36338,max,2018,5,2.49,100,2018,6,2.275,50,2018,7,2.084,50,2018,8,2.494,100,2018,9,2.332,100,2018,10,2.947,100,2018,11,3.106,100,2018,12,2.779,100,2019,1,2.612,50,2019,2,2.588,150,2019,3,2.753,150,2019,4,2.499,100,2019,5,2.49,100,2019,6,2.275,50,2019,7,2.084,50,2019,8,2.494,100,2019,9,2.332,100,2019,10,2.947,100,2019,11,3.106,100,2019,12,2.779,100,2020,1,2.612,50,2020,2,2.588,150,2020,3,2.753,150,2020.0,4.0,2.499,100.0,2020.0,5.0,2.49,100.0,2020.0,6.0,2.275,50.0,2020.0,7.0,2.084,50.0,2020.0,8.0,2.494,100.0,2020.0,9.0,2.332,100.0,2020.0,10.0,2.947,100.0,2020.0,11.0,3.106,100.0,2020.0,12.0,2.779,100.0,2021.0,1.0,2.612,50.0,2021.0,2.0,2.588,150.0,2021.0,3.0,2.753,150.0,2021.0,4.0,2.499,100.0,2021.0,5.0,2.49,100.0,2021.0,6.0,2.275,50.0,2021.0,7.0,2.084,50.0,2021.0,8.0,2.494,100.0,2021.0,9.0,2.332,100.0,2021.0,10.0,2.947,100.0,2021.0,11.0,3.106,100.0,2021.0,12.0,2.779,100.0,2022.0,1.0,2.612,50.0,2022.0,2.0,2.588,150.0,2022.0,3.0,2.753,150.0,2022.0,4.0,2.499,100.0,2022.0,5.0,2.49,100.0,2022.0,6.0,2.275,50.0,2022.0,7.0,2.084,50.0,2022.0,8.0,2.494,100.0,2022.0,9.0,2.332,100.0,2022.0,10.0,2.947,100.0,2022.0,11.0,3.106,100.0,2022.0,12.0,2.779,100.0,2023.0,1.0,2.612,50.0,2023.0,2.0,2.588,150.0,2023.0,3.0,2.753,150.0,2023.0,4.0,2.499,100.0,Bladnoch,,,Alba / Scotland,DG8 9AZ,United Kingdom
58643010,Howard Park,55.60465827,-4.499004047,322555,37606,max,2018,5,1.855,200,2018,6,1.589,200,2018,7,1.522,200,2018,8,3.063,200,2018,9,2.286,200,2018,10,2.467,254,2018,11,2.533,200,2018,12,3.026,200,2019,1,2.422,200,2019,2,2.105,200,2019,3,2.26,200,2019,4,1.453,200,2019,5,1.855,200,2019,6,1.589,200,2019,7,1.522,200,2019,8,3.063,200,2019,9,2.286,200,2019,10,2.467,254,2019,11,2.533,200,2019,12,3.026,200,2020,1,2.422,200,2020,2,2.105,200,2020,3,2.26,200,2020.0,4.0,1.453,200.0,2020.0,5.0,1.855,200.0,2020.0,6.0,1.589,200.0,2020.0,7.0,1.522,200.0,2020.0,8.0,3.063,200.0,2020.0,9.0,2.286,200.0,2020.0,10.0,2.467,254.0,2020.0,11.0,2.533,200.0,2020.0,12.0,3.026,200.0,2021.0,1.0,2.422,200.0,2021.0,2.0,2.105,200.0,2021.0,3.0,2.26,200.0,2021.0,4.0,1.453,200.0,2021.0,5.0,1.855,200.0,2021.0,6.0,1.589,200.0,2021.0,7.0,1.522,200.0,2021.0,8.0,3.063,200.0,2021.0,9.0,2.286,200.0,2021.0,10.0,2.467,254.0,2021.0,11.0,2.533,200.0,2021.0,12.0,3.026,200.0,2022.0,1.0,2.422,200.0,2022.0,2.0,2.105,200.0,2022.0,3.0,2.26,200.0,2022.0,4.0,1.453,200.0,2022.0,5.0,1.855,200.0,2022.0,6.0,1.589,200.0,2022.0,7.0,1.522,200.0,2022.0,8.0,3.063,200.0,2022.0,9.0,2.286,200.0,2022.0,10.0,2.467,254.0,2022.0,11.0,2.533,200.0,2022.0,12.0,3.026,200.0,2023.0,1.0,2.422,200.0,2023.0,2.0,2.105,200.0,2023.0,3.0,2.26,200.0,2023.0,4.0,1.453,200.0,,Riccarton,,Alba / Scotland,KA1 1RD,United Kingdom
61583010,Galashiels,55.62706185,-2.827709454,9683,38500,max,2018,5,1.147,200,2018,6,1.345,200,2018,7,1.555,200,2018,8,1.623,200,2018,9,1.654,200,2018,10,2.175,200,2018,11,2.727,200,2018,12,1.837,200,2019,1,1.735,200,2019,2,1.658,200,2019,3,1.541,200,2019,4,1.793,200,2019,5,1.147,200,2019,6,1.345,200,2019,7,1.555,200,2019,8,1.623,200,2019,9,1.654,200,2019,10,2.175,200,2019,11,2.727,200,2019,12,1.837,200,2020,1,1.735,200,2020,2,1.658,200,2020,3,1.541,200,2020.0,4.0,1.793,200.0,2020.0,5.0,1.147,200.0,2020.0,6.0,1.345,200.0,2020.0,7.0,1.555,200.0,2020.0,8.0,1.623,200.0,2020.0,9.0,1.654,200.0,2020.0,10.0,2.175,200.0,2020.0,11.0,2.727,200.0,2020.0,12.0,1.837,200.0,2021.0,1.0,1.735,200.0,2021.0,2.0,1.658,200.0,2021.0,3.0,1.541,200.0,2021.0,4.0,1.793,200.0,2021.0,5.0,1.147,200.0,2021.0,6.0,1.345,200.0,2021.0,7.0,1.555,200.0,2021.0,8.0,1.623,200.0,2021.0,9.0,1.654,200.0,2021.0,10.0,2.175,200.0,2021.0,11.0,2.727,200.0,2021.0,12.0,1.837,200.0,2022.0,1.0,1.735,200.0,2022.0,2.0,1.658,200.0,2022.0,3.0,1.541,200.0,2022.0,4.0,1.793,200.0,2022.0,5.0,1.147,200.0,2022.0,6.0,1.345,200.0,2022.0,7.0,1.555,200.0,2022.0,8.0,1.623,200.0,2022.0,9.0,1.654,200.0,2022.0,10.0,2.175,200.0,2022.0,11.0,2.727,200.0,2022.0,12.0,1.837,200.0,2023.0,1.0,1.735,200.0,2023.0,2.0,1.658,200.0,2023.0,3.0,1.541,200.0,2023.0,4.0,1.793,200.0,,Torwoodlee,,Alba / Scotland,TD1 2HD,United Kingdom
52916010,Dryfield,55.93891825,-4.182216743,133080,36070,max,2018,5,3.373,200,2018,6,3.41,200,2018,7,3.972,200,2018,8,4.256,200,2018,9,4.587,200,2018,10,3.956,200,2018,11,4.073,200,2018,12,4.819,200,2019,1,3.892,200,2019,2,4.142,200,2019,3,3.853,200,2019,4,3.434,200,2019,5,3.373,200,2019,6,3.41,200,2019,7,3.972,200,2019,8,4.256,200,2019,9,4.587,200,2019,10,3.956,200,2019,11,4.073,200,2019,12,4.819,200,2020,1,3.892,200,2020,2,4.142,200,2020,3,3.853,200,2020.0,4.0,3.434,200.0,2020.0,5.0,3.373,200.0,2020.0,6.0,3.41,200.0,2020.0,7.0,3.972,200.0,2020.0,8.0,4.256,200.0,2020.0,9.0,4.587,200.0,2020.0,10.0,3.956,200.0,2020.0,11.0,4.073,200.0,2020.0,12.0,4.819,200.0,2021.0,1.0,3.892,200.0,2021.0,2.0,4.142,200.0,2021.0,3.0,3.853,200.0,2021.0,4.0,3.434,200.0,2021.0,5.0,3.373,200.0,2021.0,6.0,3.41,200.0,2021.0,7.0,3.972,200.0,2021.0,8.0,4.256,200.0,2021.0,9.0,4.587,200.0,2021.0,10.0,3.956,200.0,2021.0,11.0,4.073,200.0,2021.0,12.0,4.819,200.0,2022.0,1.0,3.892,200.0,2022.0,2.0,4.142,200.0,2022.0,3.0,3.853,200.0,2022.0,4.0,3.434,200.0,2022.0,5.0,3.373,200.0,2022.0,6.0,3.41,200.0,2022.0,7.0,3.972,200.0,2022.0,8.0,4.256,200.0,2022.0,9.0,4.587,200.0,2022.0,10.0,3.956,200.0,2022.0,11.0,4.073,200.0,2022.0,12.0,4.819,200.0,2023.0,1.0,3.892,200.0,2023.0,2.0,4.142,200.0,2023.0,3.0,3.853,200.0,2023.0,4.0,3.434,200.0,,Westermains,,Alba / Scotland,G66 1SL,United Kingdom
54255010,Craigiehall,55.96313343,-3.338532726,14867,36396,max,2018,5,3.632,50,2018,6,2.709,150,2018,7,3.403,50,2018,8,3.284,50,2018,9,2.785,100,2018,10,3.214,50,2018,11,3.728,50,2018,12,3.521,50,2019,1,3.115,50,2019,2,3.243,100,2019,3,3.084,50,2019,4,3.759,50,2019,5,3.632,50,2019,6,2.709,150,2019,7,3.403,50,2019,8,3.284,50,2019,9,2.785,100,2019,10,3.214,50,2019,11,3.728,50,2019,12,3.521,50,2020,1,3.115,50,2020,2,3.243,100,2020,3,3.084,50,2020.0,4.0,3.759,50.0,2020.0,5.0,3.632,50.0,2020.0,6.0,2.709,150.0,2020.0,7.0,3.403,50.0,2020.0,8.0,3.284,50.0,2020.0,9.0,2.785,100.0,2020.0,10.0,3.214,50.0,2020.0,11.0,3.728,50.0,2020.0,12.0,3.521,50.0,2021.0,1.0,3.115,50.0,2021.0,2.0,3.243,100.0,2021.0,3.0,3.084,50.0,2021.0,4.0,3.759,50.0,2021.0,5.0,3.632,50.0,2021.0,6.0,2.709,150.0,2021.0,7.0,3.403,50.0,2021.0,8.0,3.284,50.0,2021.0,9.0,2.785,100.0,2021.0,10.0,3.214,50.0,2021.0,11.0,3.728,50.0,2021.0,12.0,3.521,50.0,2022.0,1.0,3.115,50.0,2022.0,2.0,3.243,100.0,2022.0,3.0,3.084,50.0,2022.0,4.0,3.759,50.0,2022.0,5.0,3.632,50.0,2022.0,6.0,2.709,150.0,2022.0,7.0,3.403,50.0,2022.0,8.0,3.284,50.0,2022.0,9.0,2.785,100.0,2022.0,10.0,3.214,50.0,2022.0,11.0,3.728,50.0,2022.0,12.0,3.521,50.0,2023.0,1.0,3.115,50.0,2023.0,2.0,3.243,100.0,2023.0,3.0,3.084,50.0,2023.0,4.0,3.759,50.0,,,,Alba / Scotland,EH30 9TW,United Kingdom
61006010,Boleside,55.59164323,-2.798878774,533744,38340,max,2018,5,2.192,200,2018,6,1.855,200,2018,7,1.958,200,2018,8,2.333,200,2018,9,1.864,200,2018,10,2.847,200,2018,11,3.263,200,2018,12,3.228,200,2019,1,3.211,200,2019,2,2.948,200,2019,3,2.299,200,2019,4,2.484,200,2019,5,2.192,200,2019,6,1.855,200,2019,7,1.958,200,2019,8,2.333,200,2019,9,1.864,200,2019,10,2.847,200,2019,11,3.263,200,2019,12,3.228,200,2020,1,3.211,200,2020,2,2.948,200,2020,3,2.299,200,2020.0,4.0,2.484,200.0,2020.0,5.0,2.192,200.0,2020.0,6.0,1.855,200.0,2020.0,7.0,1.958,200.0,2020.0,8.0,2.333,200.0,2020.0,9.0,1.864,200.0,2020.0,10.0,2.847,200.0,2020.0,11.0,3.263,200.0,2020.0,12.0,3.228,200.0,2021.0,1.0,3.211,200.0,2021.0,2.0,2.948,200.0,2021.0,3.0,2.299,200.0,2021.0,4.0,2.484,200.0,2021.0,5.0,2.192,200.0,2021.0,6.0,1.855,200.0,2021.0,7.0,1.958,200.0,2021.0,8.0,2.333,200.0,2021.0,9.0,1.864,200.0,2021.0,10.0,2.847,200.0,2021.0,11.0,3.263,200.0,2021.0,12.0,3.228,200.0,2022.0,1.0,3.211,200.0,2022.0,2.0,2.948,200.0,2022.0,3.0,2.299,200.0,2022.0,4.0,2.484,200.0,2022.0,5.0,2.192,200.0,2022.0,6.0,1.855,200.0,2022.0,7.0,1.958,200.0,2022.0,8.0,2.333,200.0,2022.0,9.0,1.864,200.0,2022.0,10.0,2.847,200.0,2022.0,11.0,3.263,200.0,2022.0,12.0,3.228,200.0,2023.0,1.0,3.211,200.0,2023.0,2.0,2.948,200.0,2023.0,3.0,2.299,200.0,2023.0,4.0,2.484,200.0,Boleside,,,Alba / Scotland,TD1 3NU,United Kingdom
