ts_id,station_name,station_latitude,station_longitude,station_no,station_id,year_000,month_000,value_000,quality_code_000,year_001,month_001,value_001,quality_code_001,year_002,month_002,value_002,quality_code_002,year_003,month_003,value_003,quality_code_003,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_001,month_001,value_001,quality_code_001,year_002,month_002,value_002,quality_code_002,year_003,month_003,value_003,quality_code_003,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_012,month_012,value_012,quality_code_012,year_002,month_002,value_002,quality_code_002,year_003,month_003,value_003,quality_code_003,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_012,month_012,value_012,quality_code_012,year_013,month_013,value_013,quality_code_013,year_003,month_003,value_003,quality_code_003,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_012,month_012,value_012,quality_code_012,year_013,month_013,value_013,quality_code_013,year_014,month_014,value_014,quality_code_014,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_012,month_012,value_012,quality_code_012,year_013,month_013,value_013,quality_code_013,year_014,month_014,value_014,quality_code_014,year_015,month_015,value_015,quality_code_015
57437010,Firhall,57.57160708,-3.869783835,234218,37294,2018,05,1.694,50,2018,06,2.318,200,2018,07,3.002,200,2018,08,2.157,50,2018,09,2.342,50,2018,10,2.807,100,2018,11,2.007,150,2018,12,1.971,150,2019,01,2.162,150,2019,02,1.961,150,2019,03,1.711,150,2019,04,2.311,100,2019,05,1.694,50,2019,06,2.318,200,2019,07,3.002,200,2019,08,2.157,50,2019,09,2.342,50,2019,10,2.807,100,2019,11,2.007,150,2019,12,1.971,150,2020,01,2.162,150,2020,02,1.961,150,2020,03,1.711,150,2020,04,2.311,100,2020,05,1.694,50,2020,06,2.318,200,2020,07,3.002,200,2020,08,2.157,50,2020,09,2.342,50,2020,10,2.807,100,2020,11,2.007,150,2020,12,1.971,150,2021,01,2.162,150,2021,02,1.961,150,2021,03,1.711,150,2021,04,2.311,100,2021,05,1.694,50,2021,06,2.318,200,2021,07,3.002,200,2021,08,2.157,50,2021,09,2.342,50,2021,10,2.807,100,2021,11,2.007,150,2021,12,1.971,150,2022,01,2.162,150,2022,02,1.961,150,2022,03,1.711,150,2022,04,2.311,100,2022,05,1.694,50,2022,06,2.318,200,2022,07,3.002,200,2022,08,2.157,50,2022,09,2.342,50,2022,10,2.807,100,2022,11,2.007,150,2022,12,1.971,150,2023,01,2.162,150,2023,02,1.961,150,2023,03,1.711,150,2023,04,2.311,100
60949010,Kelly Den - Arbilot,56.55248062,-2.640451372,532820,38328,2018,05,0.824,254,2018,06,0.615,254,2018,07,0.496,100,2018,08,0.986,254,2018,09,0.717,254,2018,10,0.914,254,2018,11,0.935,254,2018,12,0.775,254,2019,01,0.768,254,2019,02,0.803,254,2019,03,0.952,254,2019,04,0.716,254,2019,05,0.824,254,2019,06,0.615,254,2019,07,0.496,100,2019,08,0.986,254,2019,09,0.717,254,2019,10,0.914,254,2019,11,0.935,254,2019,12,0.775,254,2020,01,0.768,254,2020,02,0.803,254,2020,03,0.952,254,2020,04,0.716,254,2020,05,0.824,254,2020,06,0.615,254,2020,07,0.496,100,2020,08,0.986,254,2020,09,0.717,254,2020,10,0.914,254,2020,11,0.935,254,2020,12,0.775,254,2021,01,0.768,254,2021,02,0.803,254,2021,03,0.952,254,2021,04,0.716,254,2021,05,0.824,254,2021,06,0.615,254,2021,07,0.496,100,2021,08,0.986,254,2021,09,0.717,254,2021,10,0.914,254,2021,11,0.935,254,2021,12,0.775,254,2022,01,0.768,254,2022,02,0.803,254,2022,03,0.952,254,2022,04,0.716,254,2022,05,0.824,254,2022,06,0.615,254,2022,07,0.496,100,2022,08,0.986,254,2022,09,0.717,254,2022,10,0.914,254,2022,11,0.935,254,2022,12,0.775,254,2023,01,0.768,254,2023,02,0.803,254,2023,03,0.952,254,2023,04,0.716,254
55589010,Auchinner,56.31678388,-4.112254665,14964,36720,2018,05,1.932,200,2018,06,1.844,200,2018,07,2.017,200,2018,08,2.251,200,2018,09,1.891,254,2018,10,1.82,200,2018,11,2.082,200,2018,12,2.034,200,2019,01,2.198,200,2019,02,2.334,200,2019,03,2.11,200,2019,04,1.806,200,2019,05,1.932,200,2019,06,1.844,200,2019,07,2.017,200,2019,08,2.251,200,2019,09,1.891,254,2019,10,1.82,200,2019,11,2.082,200,2019,12,2.034,200,2020,01,2.198,200,2020,02,2.334,200,2020,03,2.11,200,2020,04,1.806,200,2020,05,1.932,200,2020,06,1.844,200,2020,07,2.017,200,2020,08,2.251,200,2020,09,1.891,254,2020,10,1.82,200,2020,11,2.082,200,2020,12,2.034,200,2021,01,2.198,200,2021,02,2.334,200,2021,03,2.11,200,2021,04,1.806,200,2021,05,1.932,200,2021,06,1.844,200,2021,07,2.017,200,2021,08,2.251,200,2021,09,1.891,254,2021,10,1.82,200,2021,11,2.082,200,2021,12,2.034,200,2022,01,2.198,200,2022,02,2.334,200,2022,03,2.11,200,2022,04,1.806,200,2022,05,1.932,200,2022,06,1.844,200,2022,07,2.017,200,2022,08,2.251,200,2022,09,1.891,254,2022,10,1.82,200,2022,11,2.082,200,2022,12,2.034,200,2023,01,2.198,200,2023,02,2.334,200,2023,03,2.11,200,2023,04,1.806,200
55418010,Auchnafree,56.47302976,-3.904678161,14952,36678,2018,05,1.29,200,2018,06,1.732,254,2018,07,1.66,254,2018,08,1.731,254,2018,09,2.32,200,2018,10,1.954,254,2018,11,2.319,200,2018,12,2.221,200,2019,01,1.906,254,2019,02,2.09,200,2019,03,1.685,200,2019,04,1.75,200,2019,05,1.29,200,2019,06,1.732,254,2019,07,1.66,254,2019,08,1.731,254,2019,09,2.32,200,2019,10,1.954,254,2019,11,2.319,200,2019,12,2.221,200,2020,01,1.906,254,2020,02,2.09,200,2020,03,1.685,200,2020,04,1.75,200,2020,05,1.29,200,2020,06,1.732,254,2020,07,1.66,254,2020,08,1.731,254,2020,09,2.32,200,2020,10,1.954,254,2020,11,2.319,200,2020,12,2.221,200,2021,01,1.906,254,2021,02,2.09,200,2021,03,1.685,200,2021,04,1.75,200,2021,05,1.29,200,2021,06,1.732,254,2021,07,1.66,254,2021,08,1.731,254,2021,09,2.32,200,2021,10,1.954,254,2021,11,2.319,200,2021,12,2.221,200,2022,01,1.906,254,2022,02,2.09,200,2022,03,1.685,200,2022,04,1.75,200,2022,05,1.29,200,2022,06,1.732,254,2022,07,1.66,254,2022,08,1.731,254,2022,09,2.32,200,2022,10,1.954,254,2022,11,2.319,200,2022,12,2.221,200,2023,01,1.906,254,2023,02,2.09,200,2023,03,1.685,200,2023,04,1.75,200
59451010,Loch A Bhraoin,57.72829261,-5.098319842,356328,37884,2018,05,1.89,200,2018,06,1.534,200,2018,07,1.379,254,2018,08,1.856,150,2018,09,1.848,50,2018,10,2.072,50,2018,11,2.177,50,2018,12,2.044,50,2019,01,2.318,50,2019,02,2.169,50,2019,03,2.219,50,2019,04,2.084,50,2019,05,1.89,200,2019,06,1.534,200,2019,07,1.379,254,2019,08,1.856,150,2019,09,1.848,50,2019,10,2.072,50,2019,11,2.177,50,2019,12,2.044,50,2020,01,2.318,50,2020,02,2.169,50,2020,03,2.219,50,2020,04,2.084,50,2020,05,1.89,200,2020,06,1.534,200,2020,07,1.379,254,2020,08,1.856,150,2020,09,1.848,50,2020,10,2.072,50,2020,11,2.177,50,2020,12,2.044,50,2021,01,2.318,50,2021,02,2.169,50,2021,03,2.219,50,2021,04,2.084,50,2021,05,1.89,200,2021,06,1.534,200,2021,07,1.379,254,2021,08,1.856,150,2021,09,1.848,50,2021,10,2.072,50,2021,11,2.177,50,2021,12,2.044,50,2022,01,2.318,50,2022,02,2.169,50,2022,03,2.219,50,2022,04,2.084,50,2022,05,1.89,200,2022,06,1.534,200,2022,07,1.379,254,2022,08,1.856,150,2022,09,1.848,50,2022,10,2.072,50,2022,11,2.177,50,2022,12,2.044,50,2023,01,2.318,50,2023,02,2.169,50,2023,03,2.219,50,2023,04,2.084,50
53499010,Sills of Clyde,55.66312399,-3.70505823,133126,36216,2018,05,2.302,200,2018,06,2.181,200,2018,07,2.015,200,2018,08,2.43,200,2018,09,2.659,200,2018,10,3.066,200,2018,11,3.158,200,2018,12,3.261,200,2019,01,2.953,200,2019,02,2.942,200,2019,03,2.665,200,2019,04,2.309,200,2019,05,2.302,200,2019,06,2.181,200,2019,07,2.015,200,2019,08,2.43,200,2019,09,2.659,200,2019,10,3.066,200,2019,11,3.158,200,2019,12,3.261,200,2020,01,2.953,200,2020,02,2.942,200,2020,03,2.665,200,2020,04,2.309,200,2020,05,2.302,200,2020,06,2.181,200,2020,07,2.015,200,2020,08,2.43,200,2020,09,2.659,200,2020,10,3.066,200,2020,11,3.158,200,2020,12,3.261,200,2021,01,2.953,200,2021,02,2.942,200,2021,03,2.665,200,2021,04,2.309,200,2021,05,2.302,200,2021,06,2.181,200,2021,07,2.015,200,2021,08,2.43,200,2021,09,2.659,200,2021,10,3.066,200,2021,11,3.158,200,2021,12,3.261,200,2022,01,2.953,200,2022,02,2.942,200,2022,03,2.665,200,2022,04,2.309,200,2022,05,2.302,200,2022,06,2.181,200,2022,07,2.015,200,2022,08,2.43,200,2022,09,2.659,200,2022,10,3.066,200,2022,11,3.158,200,2022,12,3.261,200,2023,01,2.953,200,2023,02,2.942,200,2023,03,2.665,200,2023,04,2.309,200
58116010,Polhollick,57.05514629,-3.083180673,234294,37460,2018,05,2.382,50,2018,06,1.664,50,2018,07,2.0,50,2018,08,2.714,50,2018,09,2.151,100,2018,10,2.31,50,2018,11,2.312,100,2018,12,3.3,150,2019,01,2.555,150,2019,02,2.561,150,2019,03,2.253,150,2019,04,2.094,100,2019,05,2.382,50,2019,06,1.664,50,2019,07,2.0,50,2019,08,2.714,50,2019,09,2.151,100,2019,10,2.31,50,2019,11,2.312,100,2019,12,3.3,150,2020,01,2.555,150,2020,02,2.561,150,2020,03,2.253,150,2020,04,2.094,100,2020,05,2.382,50,2020,06,1.664,50,2020,07,2.0,50,2020,08,2.714,50,2020,09,2.151,100,2020,10,2.31,50,2020,11,2.312,100,2020,12,3.3,150,2021,01,2.555,150,2021,02,2.561,150,2021,03,2.253,150,2021,04,2.094,100,2021,05,2.382,50,2021,06,1.664,50,2021,07,2.0,50,2021,08,2.714,50,2021,09,2.151,100,2021,10,2.31,50,2021,11,2.312,100,2021,12,3.3,150,2022,01,2.555,150,2022,02,2.561,150,2022,03,2.253,150,2022,04,2.094,100,2022,05,2.382,50,2022,06,1.664,50,2022,07,2.0,50,2022,08,2.714,50,2022,09,2.151,100,2022,10,2.31,50,2022,11,2.312,100,2022,12,3.3,150,2023,01,2.555,150,2023,02,2.561,150,2023,03,2.253,150,2023,04,2.094,100
57890010,Loch Flemington,57.54236344,-3.993033026,234267,37406,2018,05,1.914,200,2018,06,1.672,200,2018,07,1.69,200,2018,08,1.506,200,2018,09,1.515,200,2018,10,1.75,254,2018,11,1.75,200,2018,12,1.79,254,2019,01,1.86,200,2019,02,1.99,200,2019,03,1.958,200,2019,04,1.96,200,2019,05,1.914,200,2019,06,1.672,200,2019,07,1.69,200,2019,08,1.506,200,2019,09,1.515,200,2019,10,1.75,254,2019,11,1.75,200,2019,12,1.79,254,2020,01,1.86,200,2020,02,1.99,200,2020,03,1.958,200,2020,04,1.96,200,2020,05,1.914,200,2020,06,1.672,200,2020,07,1.69,200,2020,08,1.506,200,2020,09,1.515,200,2020,10,1.75,254,2020,11,1.75,200,2020,12,1.79,254,2021,01,1.86,200,2021,02,1.99,200,2021,03,1.958,200,2021,04,1.96,200,2021,05,1.914,200,2021,06,1.672,200,2021,07,1.69,200,2021,08,1.506,200,2021,09,1.515,200,2021,10,1.75,254,2021,11,1.75,200,2021,12,1.79,254,2022,01,1.86,200,2022,02,1.99,200,2022,03,1.958,200,2022,04,1.96,200,2022,05,1.914,200,2022,06,1.672,200,2022,07,1.69,200,2022,08,1.506,200,2022,09,1.515,200,2022,10,1.75,254,2022,11,1.75,200,2022,12,1.79,254,2023,01,1.86,200,2023,02,1.99,200,2023,03,1.958,200,2023,04,1.96,200
54022010,Low Malzie,54.85901864,-4.522077924,133167,36338,2018,05,2.49,100,2018,06,2.275,50,2018,07,2.084,50,2018,08,2.494,100,2018,09,2.332,100,2018,10,2.947,100,2018,11,3.106,100,2018,12,2.779,100,2019,01,2.612,50,2019,02,2.588,150,2019,03,2.753,150,2019,04,2.499,100,2019,05,2.49,100,2019,06,2.275,50,2019,07,2.084,50,2019,08,2.494,100,2019,09,2.332,100,2019,10,2.947,100,2019,11,3.106,100,2019,12,2.779,100,2020,01,2.612,50,2020,02,2.588,150,2020,03,2.753,150,2020,04,2.499,100,2020,05,2.49,100,2020,06,2.275,50,2020,07,2.084,50,2020,08,2.494,100,2020,09,2.332,100,2020,10,2.947,100,2020,11,3.106,100,2020,12,2.779,100,2021,01,2.612,50,2021,02,2.588,150,2021,03,2.753,150,2021,04,2.499,100,2021,05,2.49,100,2021,06,2.275,50,2021,07,2.084,50,2021,08,2.494,100,2021,09,2.332,100,2021,10,2.947,100,2021,11,3.106,100,2021,12,2.779,100,2022,01,2.612,50,2022,02,2.588,150,2022,03,2.753,150,2022,04,2.499,100,2022,05,2.49,100,2022,06,2.275,50,2022,07,2.084,50,2022,08,2.494,100,2022,09,2.332,100,2022,10,2.947,100,2022,11,3.106,100,2022,12,2.779,100,2023,01,2.612,50,2023,02,2.588,150,2023,03,2.753,150,2023,04,2.499,100
57817010,Laxford Bridge,58.37221983,-4.991457712,234260,37388,2018,05,1.178,150,2018,06,1.076,50,2018,07,1.094,50,2018,08,1.475,100,2018,09,1.331,100,2018,10,2.02,254,2018,11,1.539,100,2018,12,1.541,150,2019,01,1.426,150,2019,02,1.689,150,2019,03,1.372,150,2019,04,1.348,150,2019,05,1.178,150,2019,06,1.076,50,2019,07,1.094,50,2019,08,1.475,100,2019,09,1.331,100,2019,10,2.02,254,2019,11,1.539,100,2019,12,1.541,150,2020,01,1.426,150,2020,02,1.689,150,2020,03,1.372,150,2020,04,1.348,150,2020,05,1.178,150,2020,06,1.076,50,2020,07,1.094,50,2020,08,1.475,100,2020,09,1.331,100,2020,10,2.02,254,2020,11,1.539,100,2020,12,1.541,150,2021,01,1.426,150,2021,02,1.689,150,2021,03,1.372,150,2021,04,1.348,150,2021,05,1.178,150,2021,06,1.076,50,2021,07,1.094,50,2021,08,1.475,100,2021,09,1.331,100,2021,10,2.02,254,2021,11,1.539,100,2021,12,1.541,150,2022,01,1.426,150,2022,02,1.689,150,2022,03,1.372,150,2022,04,1.348,150,2022,05,1.178,150,2022,06,1.076,50,2022,07,1.094,50,2022,08,1.475,100,2022,09,1.331,100,2022,10,2.02,254,2022,11,1.539,100,2022,12,1.541,150,2023,01,1.426,150,2023,02,1.689,150,2023,03,1.372,150,2023,04,1.348,150
