ts_id,station_name,station_latitude,station_longitude,station_no,station_id,year_000,month_000,value_000,quality_code_000,year_001,month_001,value_001,quality_code_001,year_002,month_002,value_002,quality_code_002,year_003,month_003,value_003,quality_code_003,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_001,month_001,value_001,quality_code_001,year_002,month_002,value_002,quality_code_002,year_003,month_003,value_003,quality_code_003,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_012,month_012,value_012,quality_code_012,year_002,month_002,value_002,quality_code_002,year_003,month_003,value_003,quality_code_003,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_012,month_012,value_012,quality_code_012,year_013,month_013,value_013,quality_code_013,year_003,month_003,value_003,quality_code_003,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_012,month_012,value_012,quality_code_012,year_013,month_013,value_013,quality_code_013,year_014,month_014,value_014,quality_code_014,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_012,month_012,value_012,quality_code_012,year_013,month_013,value_013,quality_code_013,year_014,month_014,value_014,quality_code_014,year_015,month_015,value_015,quality_code_015
57705010,Inverugie,57.52669115,-1.832792272,234249,37360,2018,05,0.258,254,2018,06,0.24,254,2018,07,0.215,100,2018,08,0.18,254,2018,09,0.181,254,2018,10,0.207,50,2018,11,0.296,254,2018,12,0.339,254,2019,01,0.362,50,2019,02,0.41,50,2019,03,0.352,50,2019,04,0.311,254,2019,05,0.258,254,2019,06,0.24,254,2019,07,0.215,100,2019,08,0.18,254,2019,09,0.181,254,2019,10,0.207,50,2019,11,0.296,254,2019,12,0.339,254,2020,01,0.362,50,2020,02,0.41,50,2020,03,0.352,50,2020,04,0.311,254,2020,05,0.258,254,2020,06,0.24,254,2020,07,0.215,100,2020,08,0.18,254,2020,09,0.181,254,2020,10,0.207,50,2020,11,0.296,254,2020,12,0.339,254,2021,01,0.362,50,2021,02,0.41,50,2021,03,0.352,50,2021,04,0.311,254,2021,05,0.258,254,2021,06,0.24,254,2021,07,0.215,100,2021,08,0.18,254,2021,09,0.181,254,2021,10,0.207,50,2021,11,0.296,254,2021,12,0.339,254,2022,01,0.362,50,2022,02,0.41,50,2022,03,0.352,50,2022,04,0.311,254,2022,05,0.258,254,2022,06,0.24,254,2022,07,0.215,100,2022,08,0.18,254,2022,09,0.181,254,2022,10,0.207,50,2022,11,0.296,254,2022,12,0.339,254,2023,01,0.362,50,2023,02,0.41,50,2023,03,0.352,50,2023,04,0.311,254
52796010,Candermill,55.70088757,-3.966908369,133070,36040,2018,05,0.029,200,2018,06,0.018,200,2018,07,0.016,254,2018,08,0.016,200,2018,09,0.015,200,2018,10,0.014,200,2018,11,0.024,200,2018,12,0.037,200,2019,01,0.055,200,2019,02,0.026,200,2019,03,0.036,200,2019,04,0.034,200,2019,05,0.029,200,2019,06,0.018,200,2019,07,0.016,254,2019,08,0.016,200,2019,09,0.015,200,2019,10,0.014,200,2019,11,0.024,200,2019,12,0.037,200,2020,01,0.055,200,2020,02,0.026,200,2020,03,0.036,200,2020,04,0.034,200,2020,05,0.029,200,2020,06,0.018,200,2020,07,0.016,254,2020,08,0.016,200,2020,09,0.015,200,2020,10,0.014,200,2020,11,0.024,200,2020,12,0.037,200,2021,01,0.055,200,2021,02,0.026,200,2021,03,0.036,200,2021,04,0.034,200,2021,05,0.029,200,2021,06,0.018,200,2021,07,0.016,254,2021,08,0.016,200,2021,09,0.015,200,2021,10,0.014,200,2021,11,0.024,200,2021,12,0.037,200,2022,01,0.055,200,2022,02,0.026,200,2022,03,0.036,200,2022,04,0.034,200,2022,05,0.029,200,2022,06,0.018,200,2022,07,0.016,254,2022,08,0.016,200,2022,09,0.015,200,2022,10,0.014,200,2022,11,0.024,200,2022,12,0.037,200,2023,01,0.055,200,2023,02,0.026,200,2023,03,0.036,200,2023,04,0.034,200
58628010,Abington,55.48691533,-3.69056827,322551,37602,2018,05,0.443,200,2018,06,0.435,200,2018,07,0.431,50,2018,08,0.426,200,2018,09,0.43,200,2018,10,0.466,200,2018,11,0.499,200,2018,12,0.515,150,2019,01,0.493,200,2019,02,0.507,200,2019,03,0.501,200,2019,04,0.466,200,2019,05,0.443,200,2019,06,0.435,200,2019,07,0.431,50,2019,08,0.426,200,2019,09,0.43,200,2019,10,0.466,200,2019,11,0.499,200,2019,12,0.515,150,2020,01,0.493,200,2020,02,0.507,200,2020,03,0.501,200,2020,04,0.466,200,2020,05,0.443,200,2020,06,0.435,200,2020,07,0.431,50,2020,08,0.426,200,2020,09,0.43,200,2020,10,0.466,200,2020,11,0.499,200,2020,12,0.515,150,2021,01,0.493,200,2021,02,0.507,200,2021,03,0.501,200,2021,04,0.466,200,2021,05,0.443,200,2021,06,0.435,200,2021,07,0.431,50,2021,08,0.426,200,2021,09,0.43,200,2021,10,0.466,200,2021,11,0.499,200,2021,12,0.515,150,2022,01,0.493,200,2022,02,0.507,200,2022,03,0.501,200,2022,04,0.466,200,2022,05,0.443,200,2022,06,0.435,200,2022,07,0.431,50,2022,08,0.426,200,2022,09,0.43,200,2022,10,0.466,200,2022,11,0.499,200,2022,12,0.515,150,2023,01,0.493,200,2023,02,0.507,200,2023,03,0.501,200,2023,04,0.466,200
53428010,Redlees,55.81909284,-4.108983791,133122,36198,2018,05,0.077,200,2018,06,0.073,200,2018,07,0.069,200,2018,08,0.076,200,2018,09,0.068,200,2018,10,0.089,254,2018,11,0.119,200,2018,12,0.082,200,2019,01,0.087,200,2019,02,0.072,200,2019,03,0.09,200,2019,04,0.055,200,2019,05,0.077,200,2019,06,0.073,200,2019,07,0.069,200,2019,08,0.076,200,2019,09,0.068,200,2019,10,0.089,254,2019,11,0.119,200,2019,12,0.082,200,2020,01,0.087,200,2020,02,0.072,200,2020,03,0.09,200,2020,04,0.055,200,2020,05,0.077,200,2020,06,0.073,200,2020,07,0.069,200,2020,08,0.076,200,2020,09,0.068,200,2020,10,0.089,254,2020,11,0.119,200,2020,12,0.082,200,2021,01,0.087,200,2021,02,0.072,200,2021,03,0.09,200,2021,04,0.055,200,2021,05,0.077,200,2021,06,0.073,200,2021,07,0.069,200,2021,08,0.076,200,2021,09,0.068,200,2021,10,0.089,254,2021,11,0.119,200,2021,12,0.082,200,2022,01,0.087,200,2022,02,0.072,200,2022,03,0.09,200,2022,04,0.055,200,2022,05,0.077,200,2022,06,0.073,200,2022,07,0.069,200,2022,08,0.076,200,2022,09,0.068,200,2022,10,0.089,254,2022,11,0.119,200,2022,12,0.082,200,2023,01,0.087,200,2023,02,0.072,200,2023,03,0.09,200,2023,04,0.055,200
59469010,Rhidorroch,57.90929699,-5.117024011,356990,37888,2018,05,0.359,254,2018,06,0.315,254,2018,07,0.353,200,2018,08,0.364,150,2018,09,0.356,254,2018,10,0.415,200,2018,11,0.41,150,2018,12,0.432,150,2019,01,0.435,150,2019,02,0.363,254,2019,03,0.424,150,2019,04,0.354,150,2019,05,0.359,254,2019,06,0.315,254,2019,07,0.353,200,2019,08,0.364,150,2019,09,0.356,254,2019,10,0.415,200,2019,11,0.41,150,2019,12,0.432,150,2020,01,0.435,150,2020,02,0.363,254,2020,03,0.424,150,2020,04,0.354,150,2020,05,0.359,254,2020,06,0.315,254,2020,07,0.353,200,2020,08,0.364,150,2020,09,0.356,254,2020,10,0.415,200,2020,11,0.41,150,2020,12,0.432,150,2021,01,0.435,150,2021,02,0.363,254,2021,03,0.424,150,2021,04,0.354,150,2021,05,0.359,254,2021,06,0.315,254,2021,07,0.353,200,2021,08,0.364,150,2021,09,0.356,254,2021,10,0.415,200,2021,11,0.41,150,2021,12,0.432,150,2022,01,0.435,150,2022,02,0.363,254,2022,03,0.424,150,2022,04,0.354,150,2022,05,0.359,254,2022,06,0.315,254,2022,07,0.353,200,2022,08,0.364,150,2022,09,0.356,254,2022,10,0.415,200,2022,11,0.41,150,2022,12,0.432,150,2023,01,0.435,150,2023,02,0.363,254,2023,03,0.424,150,2023,04,0.354,150
53121010,Inverlochy,56.40496092,-4.923669812,133097,36120,2018,05,0.102,200,2018,06,0.101,200,2018,07,0.1,200,2018,08,0.094,200,2018,09,0.115,200,2018,10,0.21,200,2018,11,0.185,200,2018,12,0.082,200,2019,01,0.12,200,2019,02,0.14,200,2019,03,0.142,200,2019,04,0.145,200,2019,05,0.102,200,2019,06,0.101,200,2019,07,0.1,200,2019,08,0.094,200,2019,09,0.115,200,2019,10,0.21,200,2019,11,0.185,200,2019,12,0.082,200,2020,01,0.12,200,2020,02,0.14,200,2020,03,0.142,200,2020,04,0.145,200,2020,05,0.102,200,2020,06,0.101,200,2020,07,0.1,200,2020,08,0.094,200,2020,09,0.115,200,2020,10,0.21,200,2020,11,0.185,200,2020,12,0.082,200,2021,01,0.12,200,2021,02,0.14,200,2021,03,0.142,200,2021,04,0.145,200,2021,05,0.102,200,2021,06,0.101,200,2021,07,0.1,200,2021,08,0.094,200,2021,09,0.115,200,2021,10,0.21,200,2021,11,0.185,200,2021,12,0.082,200,2022,01,0.12,200,2022,02,0.14,200,2022,03,0.142,200,2022,04,0.145,200,2022,05,0.102,200,2022,06,0.101,200,2022,07,0.1,200,2022,08,0.094,200,2022,09,0.115,200,2022,10,0.21,200,2022,11,0.185,200,2022,12,0.082,200,2023,01,0.12,200,2023,02,0.14,200,2023,03,0.142,200,2023,04,0.145,200
57924010,Mar Lodge,56.98804049,-3.486197825,234274,37414,2018,05,0.576,50,2018,06,0.503,150,2018,07,0.51,150,2018,08,0.471,50,2018,09,0.494,100,2018,10,0.535,100,2018,11,0.469,150,2018,12,0.477,150,2019,01,0.511,150,2019,02,0.493,150,2019,03,0.547,150,2019,04,0.548,150,2019,05,0.576,50,2019,06,0.503,150,2019,07,0.51,150,2019,08,0.471,50,2019,09,0.494,100,2019,10,0.535,100,2019,11,0.469,150,2019,12,0.477,150,2020,01,0.511,150,2020,02,0.493,150,2020,03,0.547,150,2020,04,0.548,150,2020,05,0.576,50,2020,06,0.503,150,2020,07,0.51,150,2020,08,0.471,50,2020,09,0.494,100,2020,10,0.535,100,2020,11,0.469,150,2020,12,0.477,150,2021,01,0.511,150,2021,02,0.493,150,2021,03,0.547,150,2021,04,0.548,150,2021,05,0.576,50,2021,06,0.503,150,2021,07,0.51,150,2021,08,0.471,50,2021,09,0.494,100,2021,10,0.535,100,2021,11,0.469,150,2021,12,0.477,150,2022,01,0.511,150,2022,02,0.493,150,2022,03,0.547,150,2022,04,0.548,150,2022,05,0.576,50,2022,06,0.503,150,2022,07,0.51,150,2022,08,0.471,50,2022,09,0.494,100,2022,10,0.535,100,2022,11,0.469,150,2022,12,0.477,150,2023,01,0.511,150,2023,02,0.493,150,2023,03,0.547,150,2023,04,0.548,150
55313010,Balbrogie,56.57225831,-3.240802881,14947,36654,2018,05,0.2,200,2018,06,0.14,200,2018,07,0.09,200,2018,08,0.09,200,2018,09,0.09,200,2018,10,0.094,200,2018,11,0.1,200,2018,12,0.195,200,2019,01,0.215,200,2019,02,0.238,200,2019,03,0.22,200,2019,04,0.215,200,2019,05,0.2,200,2019,06,0.14,200,2019,07,0.09,200,2019,08,0.09,200,2019,09,0.09,200,2019,10,0.094,200,2019,11,0.1,200,2019,12,0.195,200,2020,01,0.215,200,2020,02,0.238,200,2020,03,0.22,200,2020,04,0.215,200,2020,05,0.2,200,2020,06,0.14,200,2020,07,0.09,200,2020,08,0.09,200,2020,09,0.09,200,2020,10,0.094,200,2020,11,0.1,200,2020,12,0.195,200,2021,01,0.215,200,2021,02,0.238,200,2021,03,0.22,200,2021,04,0.215,200,2021,05,0.2,200,2021,06,0.14,200,2021,07,0.09,200,2021,08,0.09,200,2021,09,0.09,200,2021,10,0.094,200,2021,11,0.1,200,2021,12,0.195,200,2022,01,0.215,200,2022,02,0.238,200,2022,03,0.22,200,2022,04,0.215,200,2022,05,0.2,200,2022,06,0.14,200,2022,07,0.09,200,2022,08,0.09,200,2022,09,0.09,200,2022,10,0.094,200,2022,11,0.1,200,2022,12,0.195,200,2023,01,0.215,200,2023,02,0.238,200,2023,03,0.22,200,2023,04,0.215,200
55395010,Comrie Bridge,56.61422921,-3.980864711,14951,36674,2018,05,0.249,200,2018,06,0.202,200,2018,07,0.208,200,2018,08,0.192,200,2018,09,0.201,200,2018,10,0.227,200,2018,11,0.278,200,2018,12,0.28,200,2019,01,0.243,200,2019,02,0.281,200,2019,03,0.267,200,2019,04,0.242,200,2019,05,0.249,200,2019,06,0.202,200,2019,07,0.208,200,2019,08,0.192,200,2019,09,0.201,200,2019,10,0.227,200,2019,11,0.278,200,2019,12,0.28,200,2020,01,0.243,200,2020,02,0.281,200,2020,03,0.267,200,2020,04,0.242,200,2020,05,0.249,200,2020,06,0.202,200,2020,07,0.208,200,2020,08,0.192,200,2020,09,0.201,200,2020,10,0.227,200,2020,11,0.278,200,2020,12,0.28,200,2021,01,0.243,200,2021,02,0.281,200,2021,03,0.267,200,2021,04,0.242,200,2021,05,0.249,200,2021,06,0.202,200,2021,07,0.208,200,2021,08,0.192,200,2021,09,0.201,200,2021,10,0.227,200,2021,11,0.278,200,2021,12,0.28,200,2022,01,0.243,200,2022,02,0.281,200,2022,03,0.267,200,2022,04,0.242,200,2022,05,0.249,200,2022,06,0.202,200,2022,07,0.208,200,2022,08,0.192,200,2022,09,0.201,200,2022,10,0.227,200,2022,11,0.278,200,2022,12,0.28,200,2023,01,0.243,200,2023,02,0.281,200,2023,03,0.267,200,2023,04,0.242,200
58330010,Spey Dam,57.01121062,-4.336367491,234315,37514,2018,05,0.575,200,2018,06,0.007,200,2018,07,-0.046,200,2018,08,-0.498,200,2018,09,-0.19,200,2018,10,0.535,200,2018,11,0.014,200,2018,12,0.535,200,2019,01,0.392,200,2019,02,0.506,200,2019,03,0.0,200,2019,04,0.756,200,2019,05,0.575,200,2019,06,0.007,200,2019,07,-0.046,200,2019,08,-0.498,200,2019,09,-0.19,200,2019,10,0.535,200,2019,11,0.014,200,2019,12,0.535,200,2020,01,0.392,200,2020,02,0.506,200,2020,03,0.0,200,2020,04,0.756,200,2020,05,0.575,200,2020,06,0.007,200,2020,07,-0.046,200,2020,08,-0.498,200,2020,09,-0.19,200,2020,10,0.535,200,2020,11,0.014,200,2020,12,0.535,200,2021,01,0.392,200,2021,02,0.506,200,2021,03,0.0,200,2021,04,0.756,200,2021,05,0.575,200,2021,06,0.007,200,2021,07,-0.046,200,2021,08,-0.498,200,2021,09,-0.19,200,2021,10,0.535,200,2021,11,0.014,200,2021,12,0.535,200,2022,01,0.392,200,2022,02,0.506,200,2022,03,0.0,200,2022,04,0.756,200,2022,05,0.575,200,2022,06,0.007,200,2022,07,-0.046,200,2022,08,-0.498,200,2022,09,-0.19,200,2022,10,0.535,200,2022,11,0.014,200,2022,12,0.535,200,2023,01,0.392,200,2023,02,0.506,200,2023,03,0.0,200,2023,04,0.756,200
