ts_id,station_name,station_latitude,station_longitude,station_no,station_id,year_000,month_000,value_000,quality_code_000,year_001,month_001,value_001,quality_code_001,year_002,month_002,value_002,quality_code_002,year_003,month_003,value_003,quality_code_003,year_004,month_004,value_004,quality_code_004,year_005,month_005,value_005,quality_code_005,year_006,month_006,value_006,quality_code_006,year_007,month_007,value_007,quality_code_007,year_008,month_008,value_008,quality_code_008,year_009,month_009,value_009,quality_code_009,year_010,month_010,value_010,quality_code_010,year_011,month_011,value_011,quality_code_011,year_001.1,month_001.1,value_001.1,quality_code_001.1,year_002.1,month_002.1,value_002.1,quality_code_002.1,year_003.1,month_003.1,value_003.1,quality_code_003.1,year_004.1,month_004.1,value_004.1,quality_code_004.1,year_005.1,month_005.1,value_005.1,quality_code_005.1,year_006.1,month_006.1,value_006.1,quality_code_006.1,year_007.1,month_007.1,value_007.1,quality_code_007.1,year_008.1,month_008.1,value_008.1,quality_code_008.1,year_009.1,month_009.1,value_009.1,quality_code_009.1,year_010.1,month_010.1,value_010.1,quality_code_010.1,year_011.1,month_011.1,value_011.1,quality_code_011.1,year_012,month_012,value_012,quality_code_012,year_002.2,month_002.2,value_002.2,quality_code_002.2,year_003.2,month_003.2,value_003.2,quality_code_003.2,year_004.2,month_004.2,value_004.2,quality_code_004.2,year_005.2,month_005.2,value_005.2,quality_code_005.2,year_006.2,month_006.2,value_006.2,quality_code_006.2,year_007.2,month_007.2,value_007.2,quality_code_007.2,year_008.2,month_008.2,value_008.2,quality_code_008.2,year_009.2,month_009.2,value_009.2,quality_code_009.2,year_010.2,month_010.2,value_010.2,quality_code_010.2,year_011.2,month_011.2,value_011.2,quality_code_011.2,year_012.1,month_012.1,value_012.1,quality_code_012.1,year_013,month_013,value_013,quality_code_013,year_003.3,month_003.3,value_003.3,quality_code_003.3,year_004.3,month_004.3,value_004.3,quality_code_004.3,year_005.3,month_005.3,value_005.3,quality_code_005.3,year_006.3,month_006.3,value_006.3,quality_code_006.3,year_007.3,month_007.3,value_007.3,quality_code_007.3,year_008.3,month_008.3,value_008.3,quality_code_008.3,year_009.3,month_009.3,value_009.3,quality_code_009.3,year_010.3,month_010.3,value_010.3,quality_code_010.3,year_011.3,month_011.3,value_011.3,quality_code_011.3,year_012.2,month_012.2,value_012.2,quality_code_012.2,year_013.1,month_013.1,value_013.1,quality_code_013.1,year_014,month_014,value_014,quality_code_014,year_004.4,month_004.4,value_004.4,quality_code_004.4,year_005.4,month_005.4,value_005.4,quality_code_005.4,year_006.4,month_006.4,value_006.4,quality_code_006.4,year_007.4,month_007.4,value_007.4,quality_code_007.4,year_008.4,month_008.4,value_008.4,quality_code_008.4,year_009.4,month_009.4,value_009.4,quality_code_009.4,year_010.4,month_010.4,value_010.4,quality_code_010.4,year_011.4,month_011.4,value_011.4,quality_code_011.4,year_012.3,month_012.3,value_012.3,quality_code_012.3,year_013.2,month_013.2,value_013.2,quality_code_013.2,year_014.1,month_014.1,value_014.1,quality_code_014.1,year_015,month_015,value_015,quality_code_015,suburb,village,state,postcode,country
57705010,Inverugie,57.52669115,-1.832792272,234249,37360,2018,5,0.258,254,2018,6,0.24,254,2018,7,0.215,100,2018,8,0.18,254,2018,9,0.181,254,2018,10,0.207,50,2018,11,0.296,254,2018,12,0.339,254,2019,1,0.362,50,2019,2,0.41,50,2019,3,0.352,50,2019,4,0.311,254,2019,5,0.258,254,2019,6,0.24,254,2019,7,0.215,100,2019,8,0.18,254,2019,9,0.181,254,2019,10,0.207,50,2019,11,0.296,254,2019,12,0.339,254,2020,1,0.362,50,2020,2,0.41,50,2020,3,0.352,50,2020.0,4.0,0.311,254.0,2020.0,5.0,0.258,254.0,2020.0,6.0,0.24,254.0,2020.0,7.0,0.215,100.0,2020.0,8.0,0.18,254.0,2020.0,9.0,0.181,254.0,2020.0,10.0,0.207,50.0,2020.0,11.0,0.296,254.0,2020.0,12.0,0.339,254.0,2021.0,1.0,0.362,50.0,2021.0,2.0,0.41,50.0,2021.0,3.0,0.352,50.0,2021.0,4.0,0.311,254.0,2021.0,5.0,0.258,254.0,2021.0,6.0,0.24,254.0,2021.0,7.0,0.215,100.0,2021.0,8.0,0.18,254.0,2021.0,9.0,0.181,254.0,2021.0,10.0,0.207,50.0,2021.0,11.0,0.296,254.0,2021.0,12.0,0.339,254.0,2022.0,1.0,0.362,50.0,2022.0,2.0,0.41,50.0,2022.0,3.0,0.352,50.0,2022.0,4.0,0.311,254.0,2022.0,5.0,0.258,254.0,2022.0,6.0,0.24,254.0,2022.0,7.0,0.215,100.0,2022.0,8.0,0.18,254.0,2022.0,9.0,0.181,254.0,2022.0,10.0,0.207,50.0,2022.0,11.0,0.296,254.0,2022.0,12.0,0.339,254.0,2023.0,1.0,0.362,50.0,2023.0,2.0,0.41,50.0,2023.0,3.0,0.352,50.0,2023.0,4.0,0.311,254.0,Waterside,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
52796010,Candermill,55.70088757,-3.966908369,133070,36040,2018,5,0.029,200,2018,6,0.018,200,2018,7,0.016,254,2018,8,0.016,200,2018,9,0.015,200,2018,10,0.014,200,2018,11,0.024,200,2018,12,0.037,200,2019,1,0.055,200,2019,2,0.026,200,2019,3,0.036,200,2019,4,0.034,200,2019,5,0.029,200,2019,6,0.018,200,2019,7,0.016,254,2019,8,0.016,200,2019,9,0.015,200,2019,10,0.014,200,2019,11,0.024,200,2019,12,0.037,200,2020,1,0.055,200,2020,2,0.026,200,2020,3,0.036,200,2020.0,4.0,0.034,200.0,2020.0,5.0,0.029,200.0,2020.0,6.0,0.018,200.0,2020.0,7.0,0.016,254.0,2020.0,8.0,0.016,200.0,2020.0,9.0,0.015,200.0,2020.0,10.0,0.014,200.0,2020.0,11.0,0.024,200.0,2020.0,12.0,0.037,200.0,2021.0,1.0,0.055,200.0,2021.0,2.0,0.026,200.0,2021.0,3.0,0.036,200.0,2021.0,4.0,0.034,200.0,2021.0,5.0,0.029,200.0,2021.0,6.0,0.018,200.0,2021.0,7.0,0.016,254.0,2021.0,8.0,0.016,200.0,2021.0,9.0,0.015,200.0,2021.0,10.0,0.014,200.0,2021.0,11.0,0.024,200.0,2021.0,12.0,0.037,200.0,2022.0,1.0,0.055,200.0,2022.0,2.0,0.026,200.0,2022.0,3.0,0.036,200.0,2022.0,4.0,0.034,200.0,2022.0,5.0,0.029,200.0,2022.0,6.0,0.018,200.0,2022.0,7.0,0.016,254.0,2022.0,8.0,0.016,200.0,2022.0,9.0,0.015,200.0,2022.0,10.0,0.014,200.0,2022.0,11.0,0.024,200.0,2022.0,12.0,0.037,200.0,2023.0,1.0,0.055,200.0,2023.0,2.0,0.026,200.0,2023.0,3.0,0.036,200.0,2023.0,4.0,0.034,200.0,,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
58628010,Abington,55.48691533,-3.69056827,322551,37602,2018,5,0.443,200,2018,6,0.435,200,2018,7,0.431,50,2018,8,0.426,200,2018,9,0.43,200,2018,10,0.466,200,2018,11,0.499,200,2018,12,0.515,150,2019,1,0.493,200,2019,2,0.507,200,2019,3,0.501,200,2019,4,0.466,200,2019,5,0.443,200,2019,6,0.435,200,2019,7,0.431,50,2019,8,0.426,200,2019,9,0.43,200,2019,10,0.466,200,2019,11,0.499,200,2019,12,0.515,150,2020,1,0.493,200,2020,2,0.507,200,2020,3,0.501,200,2020.0,4.0,0.466,200.0,2020.0,5.0,0.443,200.0,2020.0,6.0,0.435,200.0,2020.0,7.0,0.431,50.0,2020.0,8.0,0.426,200.0,2020.0,9.0,0.43,200.0,2020.0,10.0,0.466,200.0,2020.0,11.0,0.499,200.0,2020.0,12.0,0.515,150.0,2021.0,1.0,0.493,200.0,2021.0,2.0,0.507,200.0,2021.0,3.0,0.501,200.0,2021.0,4.0,0.466,200.0,2021.0,5.0,0.443,200.0,2021.0,6.0,0.435,200.0,2021.0,7.0,0.431,50.0,2021.0,8.0,0.426,200.0,2021.0,9.0,0.43,200.0,2021.0,10.0,0.466,200.0,2021.0,11.0,0.499,200.0,2021.0,12.0,0.515,150.0,2022.0,1.0,0.493,200.0,2022.0,2.0,0.507,200.0,2022.0,3.0,0.501,200.0,2022.0,4.0,0.466,200.0,2022.0,5.0,0.443,200.0,2022.0,6.0,0.435,200.0,2022.0,7.0,0.431,50.0,2022.0,8.0,0.426,200.0,2022.0,9.0,0.43,200.0,2022.0,10.0,0.466,200.0,2022.0,11.0,0.499,200.0,2022.0,12.0,0.515,150.0,2023.0,1.0,0.493,200.0,2023.0,2.0,0.507,200.0,2023.0,3.0,0.501,200.0,2023.0,4.0,0.466,200.0,,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
53428010,Redlees,55.81909284,-4.108983791,133122,36198,2018,5,0.077,200,2018,6,0.073,200,2018,7,0.069,200,2018,8,0.076,200,2018,9,0.068,200,2018,10,0.089,254,2018,11,0.119,200,2018,12,0.082,200,2019,1,0.087,200,2019,2,0.072,200,2019,3,0.09,200,2019,4,0.055,200,2019,5,0.077,200,2019,6,0.073,200,2019,7,0.069,200,2019,8,0.076,200,2019,9,0.068,200,2019,10,0.089,254,2019,11,0.119,200,2019,12,0.082,200,2020,1,0.087,200,2020,2,0.072,200,2020,3,0.09,200,2020.0,4.0,0.055,200.0,2020.0,5.0,0.077,200.0,2020.0,6.0,0.073,200.0,2020.0,7.0,0.069,200.0,2020.0,8.0,0.076,200.0,2020.0,9.0,0.068,200.0,2020.0,10.0,0.089,254.0,2020.0,11.0,0.119,200.0,2020.0,12.0,0.082,200.0,2021.0,1.0,0.087,200.0,2021.0,2.0,0.072,200.0,2021.0,3.0,0.09,200.0,2021.0,4.0,0.055,200.0,2021.0,5.0,0.077,200.0,2021.0,6.0,0.073,200.0,2021.0,7.0,0.069,200.0,2021.0,8.0,0.076,200.0,2021.0,9.0,0.068,200.0,2021.0,10.0,0.089,254.0,2021.0,11.0,0.119,200.0,2021.0,12.0,0.082,200.0,2022.0,1.0,0.087,200.0,2022.0,2.0,0.072,200.0,2022.0,3.0,0.09,200.0,2022.0,4.0,0.055,200.0,2022.0,5.0,0.077,200.0,2022.0,6.0,0.073,200.0,2022.0,7.0,0.069,200.0,2022.0,8.0,0.076,200.0,2022.0,9.0,0.068,200.0,2022.0,10.0,0.089,254.0,2022.0,11.0,0.119,200.0,2022.0,12.0,0.082,200.0,2023.0,1.0,0.087,200.0,2023.0,2.0,0.072,200.0,2023.0,3.0,0.09,200.0,2023.0,4.0,0.055,200.0,,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
59469010,Rhidorroch,57.90929699,-5.117024011,356990,37888,2018,5,0.359,254,2018,6,0.315,254,2018,7,0.353,200,2018,8,0.364,150,2018,9,0.356,254,2018,10,0.415,200,2018,11,0.41,150,2018,12,0.432,150,2019,1,0.435,150,2019,2,0.363,254,2019,3,0.424,150,2019,4,0.354,150,2019,5,0.359,254,2019,6,0.315,254,2019,7,0.353,200,2019,8,0.364,150,2019,9,0.356,254,2019,10,0.415,200,2019,11,0.41,150,2019,12,0.432,150,2020,1,0.435,150,2020,2,0.363,254,2020,3,0.424,150,2020.0,4.0,0.354,150.0,2020.0,5.0,0.359,254.0,2020.0,6.0,0.315,254.0,2020.0,7.0,0.353,200.0,2020.0,8.0,0.364,150.0,2020.0,9.0,0.356,254.0,2020.0,10.0,0.415,200.0,2020.0,11.0,0.41,150.0,2020.0,12.0,0.432,150.0,2021.0,1.0,0.435,150.0,2021.0,2.0,0.363,254.0,2021.0,3.0,0.424,150.0,2021.0,4.0,0.354,150.0,2021.0,5.0,0.359,254.0,2021.0,6.0,0.315,254.0,2021.0,7.0,0.353,200.0,2021.0,8.0,0.364,150.0,2021.0,9.0,0.356,254.0,2021.0,10.0,0.415,200.0,2021.0,11.0,0.41,150.0,2021.0,12.0,0.432,150.0,2022.0,1.0,0.435,150.0,2022.0,2.0,0.363,254.0,2022.0,3.0,0.424,150.0,2022.0,4.0,0.354,150.0,2022.0,5.0,0.359,254.0,2022.0,6.0,0.315,254.0,2022.0,7.0,0.353,200.0,2022.0,8.0,0.364,150.0,2022.0,9.0,0.356,254.0,2022.0,10.0,0.415,200.0,2022.0,11.0,0.41,150.0,2022.0,12.0,0.432,150.0,2023.0,1.0,0.435,150.0,2023.0,2.0,0.363,254.0,2023.0,3.0,0.424,150.0,2023.0,4.0,0.354,150.0,,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
53121010,Inverlochy,56.40496092,-4.923669812,133097,36120,2018,5,0.102,200,2018,6,0.101,200,2018,7,0.1,200,2018,8,0.094,200,2018,9,0.115,200,2018,10,0.21,200,2018,11,0.185,200,2018,12,0.082,200,2019,1,0.12,200,2019,2,0.14,200,2019,3,0.142,200,2019,4,0.145,200,2019,5,0.102,200,2019,6,0.101,200,2019,7,0.1,200,2019,8,0.094,200,2019,9,0.115,200,2019,10,0.21,200,2019,11,0.185,200,2019,12,0.082,200,2020,1,0.12,200,2020,2,0.14,200,2020,3,0.142,200,2020.0,4.0,0.145,200.0,2020.0,5.0,0.102,200.0,2020.0,6.0,0.101,200.0,2020.0,7.0,0.1,200.0,2020.0,8.0,0.094,200.0,2020.0,9.0,0.115,200.0,2020.0,10.0,0.21,200.0,2020.0,11.0,0.185,200.0,2020.0,12.0,0.082,200.0,2021.0,1.0,0.12,200.0,2021.0,2.0,0.14,200.0,2021.0,3.0,0.142,200.0,2021.0,4.0,0.145,200.0,2021.0,5.0,0.102,200.0,2021.0,6.0,0.101,200.0,2021.0,7.0,0.1,200.0,2021.0,8.0,0.094,200.0,2021.0,9.0,0.115,200.0,2021.0,10.0,0.21,200.0,2021.0,11.0,0.185,200.0,2021.0,12.0,0.082,200.0,2022.0,1.0,0.12,200.0,2022.0,2.0,0.14,200.0,2022.0,3.0,0.142,200.0,2022.0,4.0,0.145,200.0,2022.0,5.0,0.102,200.0,2022.0,6.0,0.101,200.0,2022.0,7.0,0.1,200.0,2022.0,8.0,0.094,200.0,2022.0,9.0,0.115,200.0,2022.0,10.0,0.21,200.0,2022.0,11.0,0.185,200.0,2022.0,12.0,0.082,200.0,2023.0,1.0,0.12,200.0,2023.0,2.0,0.14,200.0,2023.0,3.0,0.142,200.0,2023.0,4.0,0.145,200.0,,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
57924010,Mar Lodge,56.98804049,-3.486197825,234274,37414,2018,5,0.576,50,2018,6,0.503,150,2018,7,0.51,150,2018,8,0.471,50,2018,9,0.494,100,2018,10,0.535,100,2018,11,0.469,150,2018,12,0.477,150,2019,1,0.511,150,2019,2,0.493,150,2019,3,0.547,150,2019,4,0.548,150,2019,5,0.576,50,2019,6,0.503,150,2019,7,0.51,150,2019,8,0.471,50,2019,9,0.494,100,2019,10,0.535,100,2019,11,0.469,150,2019,12,0.477,150,2020,1,0.511,150,2020,2,0.493,150,2020,3,0.547,150,2020.0,4.0,0.548,150.0,2020.0,5.0,0.576,50.0,2020.0,6.0,0.503,150.0,2020.0,7.0,0.51,150.0,2020.0,8.0,0.471,50.0,2020.0,9.0,0.494,100.0,2020.0,10.0,0.535,100.0,2020.0,11.0,0.469,150.0,2020.0,12.0,0.477,150.0,2021.0,1.0,0.511,150.0,2021.0,2.0,0.493,150.0,2021.0,3.0,0.547,150.0,2021.0,4.0,0.548,150.0,2021.0,5.0,0.576,50.0,2021.0,6.0,0.503,150.0,2021.0,7.0,0.51,150.0,2021.0,8.0,0.471,50.0,2021.0,9.0,0.494,100.0,2021.0,10.0,0.535,100.0,2021.0,11.0,0.469,150.0,2021.0,12.0,0.477,150.0,2022.0,1.0,0.511,150.0,2022.0,2.0,0.493,150.0,2022.0,3.0,0.547,150.0,2022.0,4.0,0.548,150.0,2022.0,5.0,0.576,50.0,2022.0,6.0,0.503,150.0,2022.0,7.0,0.51,150.0,2022.0,8.0,0.471,50.0,2022.0,9.0,0.494,100.0,2022.0,10.0,0.535,100.0,2022.0,11.0,0.469,150.0,2022.0,12.0,0.477,150.0,2023.0,1.0,0.511,150.0,2023.0,2.0,0.493,150.0,2023.0,3.0,0.547,150.0,2023.0,4.0,0.548,150.0,,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
55313010,Balbrogie,56.57225831,-3.240802881,14947,36654,2018,5,0.2,200,2018,6,0.14,200,2018,7,0.09,200,2018,8,0.09,200,2018,9,0.09,200,2018,10,0.094,200,2018,11,0.1,200,2018,12,0.195,200,2019,1,0.215,200,2019,2,0.238,200,2019,3,0.22,200,2019,4,0.215,200,2019,5,0.2,200,2019,6,0.14,200,2019,7,0.09,200,2019,8,0.09,200,2019,9,0.09,200,2019,10,0.094,200,2019,11,0.1,200,2019,12,0.195,200,2020,1,0.215,200,2020,2,0.238,200,2020,3,0.22,200,2020.0,4.0,0.215,200.0,2020.0,5.0,0.2,200.0,2020.0,6.0,0.14,200.0,2020.0,7.0,0.09,200.0,2020.0,8.0,0.09,200.0,2020.0,9.0,0.09,200.0,2020.0,10.0,0.094,200.0,2020.0,11.0,0.1,200.0,2020.0,12.0,0.195,200.0,2021.0,1.0,0.215,200.0,2021.0,2.0,0.238,200.0,2021.0,3.0,0.22,200.0,2021.0,4.0,0.215,200.0,2021.0,5.0,0.2,200.0,2021.0,6.0,0.14,200.0,2021.0,7.0,0.09,200.0,2021.0,8.0,0.09,200.0,2021.0,9.0,0.09,200.0,2021.0,10.0,0.094,200.0,2021.0,11.0,0.1,200.0,2021.0,12.0,0.195,200.0,2022.0,1.0,0.215,200.0,2022.0,2.0,0.238,200.0,2022.0,3.0,0.22,200.0,2022.0,4.0,0.215,200.0,2022.0,5.0,0.2,200.0,2022.0,6.0,0.14,200.0,2022.0,7.0,0.09,200.0,2022.0,8.0,0.09,200.0,2022.0,9.0,0.09,200.0,2022.0,10.0,0.094,200.0,2022.0,11.0,0.1,200.0,2022.0,12.0,0.195,200.0,2023.0,1.0,0.215,200.0,2023.0,2.0,0.238,200.0,2023.0,3.0,0.22,200.0,2023.0,4.0,0.215,200.0,,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
55395010,Comrie Bridge,56.61422921,-3.980864711,14951,36674,2018,5,0.249,200,2018,6,0.202,200,2018,7,0.208,200,2018,8,0.192,200,2018,9,0.201,200,2018,10,0.227,200,2018,11,0.278,200,2018,12,0.28,200,2019,1,0.243,200,2019,2,0.281,200,2019,3,0.267,200,2019,4,0.242,200,2019,5,0.249,200,2019,6,0.202,200,2019,7,0.208,200,2019,8,0.192,200,2019,9,0.201,200,2019,10,0.227,200,2019,11,0.278,200,2019,12,0.28,200,2020,1,0.243,200,2020,2,0.281,200,2020,3,0.267,200,2020.0,4.0,0.242,200.0,2020.0,5.0,0.249,200.0,2020.0,6.0,0.202,200.0,2020.0,7.0,0.208,200.0,2020.0,8.0,0.192,200.0,2020.0,9.0,0.201,200.0,2020.0,10.0,0.227,200.0,2020.0,11.0,0.278,200.0,2020.0,12.0,0.28,200.0,2021.0,1.0,0.243,200.0,2021.0,2.0,0.281,200.0,2021.0,3.0,0.267,200.0,2021.0,4.0,0.242,200.0,2021.0,5.0,0.249,200.0,2021.0,6.0,0.202,200.0,2021.0,7.0,0.208,200.0,2021.0,8.0,0.192,200.0,2021.0,9.0,0.201,200.0,2021.0,10.0,0.227,200.0,2021.0,11.0,0.278,200.0,2021.0,12.0,0.28,200.0,2022.0,1.0,0.243,200.0,2022.0,2.0,0.281,200.0,2022.0,3.0,0.267,200.0,2022.0,4.0,0.242,200.0,2022.0,5.0,0.249,200.0,2022.0,6.0,0.202,200.0,2022.0,7.0,0.208,200.0,2022.0,8.0,0.192,200.0,2022.0,9.0,0.201,200.0,2022.0,10.0,0.227,200.0,2022.0,11.0,0.278,200.0,2022.0,12.0,0.28,200.0,2023.0,1.0,0.243,200.0,2023.0,2.0,0.281,200.0,2023.0,3.0,0.267,200.0,2023.0,4.0,0.242,200.0,,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
58330010,Spey Dam,57.01121062,-4.336367491,234315,37514,2018,5,0.575,200,2018,6,0.007,200,2018,7,-0.046,200,2018,8,-0.498,200,2018,9,-0.19,200,2018,10,0.535,200,2018,11,0.014,200,2018,12,0.535,200,2019,1,0.392,200,2019,2,0.506,200,2019,3,0.0,200,2019,4,0.756,200,2019,5,0.575,200,2019,6,0.007,200,2019,7,-0.046,200,2019,8,-0.498,200,2019,9,-0.19,200,2019,10,0.535,200,2019,11,0.014,200,2019,12,0.535,200,2020,1,0.392,200,2020,2,0.506,200,2020,3,0.0,200,2020.0,4.0,0.756,200.0,2020.0,5.0,0.575,200.0,2020.0,6.0,0.007,200.0,2020.0,7.0,-0.046,200.0,2020.0,8.0,-0.498,200.0,2020.0,9.0,-0.19,200.0,2020.0,10.0,0.535,200.0,2020.0,11.0,0.014,200.0,2020.0,12.0,0.535,200.0,2021.0,1.0,0.392,200.0,2021.0,2.0,0.506,200.0,2021.0,3.0,0.0,200.0,2021.0,4.0,0.756,200.0,2021.0,5.0,0.575,200.0,2021.0,6.0,0.007,200.0,2021.0,7.0,-0.046,200.0,2021.0,8.0,-0.498,200.0,2021.0,9.0,-0.19,200.0,2021.0,10.0,0.535,200.0,2021.0,11.0,0.014,200.0,2021.0,12.0,0.535,200.0,2022.0,1.0,0.392,200.0,2022.0,2.0,0.506,200.0,2022.0,3.0,0.0,200.0,2022.0,4.0,0.756,200.0,2022.0,5.0,0.575,200.0,2022.0,6.0,0.007,200.0,2022.0,7.0,-0.046,200.0,2022.0,8.0,-0.498,200.0,2022.0,9.0,-0.19,200.0,2022.0,10.0,0.535,200.0,2022.0,11.0,0.014,200.0,2022.0,12.0,0.535,200.0,2023.0,1.0,0.392,200.0,2023.0,2.0,0.506,200.0,2023.0,3.0,0.0,200.0,2023.0,4.0,0.756,200.0,,Inverugie,Alba / Scotland,AB42 3DN,United Kingdom
